Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P209500907;P209500907_1;A;0;1240;0;1000;2440;975
P209500907;P209500907_2;B;0;20;0;1000;1220;975
P209500907;P209500907_3;C;1000;620;0;2000;1820;975
P209500907;P209500907_4;D;2000;1240;0;3000;2440;975
P209500907;P209500907_5;E;2000;20;0;3000;1220;975
P209500907;P209500907_6;F;3000;620;0;4000;1820;975
P209500907;P209500907_7;G;4000;1240;0;5000;2440;975
P209500907;P209500907_8;H;4000;0;0;5000;1200;975
P209500907;P209500907_9;I;5000;0;0;6000;1200;975
P209500907;P209500907_10;J;5000;1240;0;6000;2440;975
P209500907;P209500907_11;K;6000;1240;0;7000;2440;975
P209500907;P209500907_12;L;6000;0;0;7000;1200;975
P209500907;P209500907_13;M;7000;0;0;8000;1200;975
P209500907;P209500907_14;N;7000;1240;0;8000;2440;975
P209500907;P209500907_15;O;8000;1240;0;9000;2440;975
P209500907;P209500907_16;P;8000;0;0;9000;1200;975
P209500907;P209500907_17;Q;9000;0;0;10000;1200;975
P209500907;P209500907_18;R;9000;1240;0;10000;2440;975
P209500907;P209500907_19;S;10000;1240;0;11000;2440;975
P209500907;P209500907_20;T;10000;0;0;11000;1200;975
P209500907;P209500907_21;U;11000;0;0;12000;1200;975
P209500907;P209500907_22;V;11000;1240;0;12000;2440;975
P209500907;P209500907_23;W;12000;1440;0;13200;2440;975
P209500907;P209500907_24;X;12000;0;0;13000;1200;975
P209500905;P209500905_1;A;0;0;0;1000;1200;975
P209500905;P209500905_2;B;0;1240;0;1000;2440;975
P209500905;P209500905_3;C;1000;620;0;2000;1820;975
P209500905;P209500905_4;D;2000;620;0;3000;1820;975
P209500905;P209500905_5;E;3000;1240;0;4000;2440;750
P209500905;P209500905_6;F;3000;20;0;4000;1220;750
P209500905;P209500905_7;G;4000;1240;0;5000;2440;750
P209500905;P209500905_8;H;4000;0;0;5000;1200;750
P209500905;P209500905_9;I;5000;0;0;6000;1200;750
P209500905;P209500905_10;J;5000;1240;0;6000;2440;750
P209500905;P209500905_11;K;6000;1240;0;7000;2440;750
P209500905;P209500905_12;L;6000;0;0;7000;1200;750
P209500905;P209500905_13;M;7000;0;0;8000;1200;750
P209500905;P209500905_14;N;7000;1240;0;8000;2440;750
P209500905;P209500905_15;O;8000;1240;0;9000;2440;750
P209500905;P209500905_16;P;8000;0;0;9000;1200;750
P209500905;P209500905_17;Q;9000;0;0;10000;1200;750
P209500905;P209500905_18;R;9000;1240;0;10000;2440;750
P209500905;P209500905_19;S;10000;1240;0;11000;2440;750
P209500905;P209500905_20;T;10000;0;0;11000;1200;750
P209500905;P209500905_21;U;11000;0;0;12000;1200;750
P209500905;P209500905_22;V;11000;1240;0;12000;2440;750
P209500905;P209500905_23;W;12000;1440;0;13200;2440;750
P209500903;P209500903_1;A;0;0;0;1000;1200;750
P209500903;P209500903_2;B;0;1240;0;1000;2440;750
P209500903;P209500903_3;C;1000;620;0;2000;1820;750
P209500903;P209500903_4;D;2000;620;0;3000;1820;750
P209500903;P209500903_5;E;3000;1240;0;4000;2440;750
P209500903;P209500903_6;F;3000;0;0;4000;1200;750
P209500903;P209500903_7;G;4000;1240;0;5000;2440;750
P209500903;P209500903_8;H;4000;0;0;5000;1200;750
P209500903;P209500903_9;I;5000;0;0;6000;1200;750
P209500903;P209500903_10;J;5000;1240;0;6000;2440;750
P209500903;P209500903_11;K;6000;1240;0;7000;2440;750
P209500903;P209500903_12;L;6000;0;0;7000;1200;750
P209500903;P209500903_13;M;7000;0;0;8000;1200;750
P209500903;P209500903_14;N;7000;1240;0;8000;2440;750
P209500903;P209500903_15;O;8000;1240;0;9000;2440;750
P209500903;P209500903_16;P;8000;0;0;9000;1200;750
P209500903;P209500903_17;Q;9000;0;0;10000;1200;750
P209500903;P209500903_18;R;9000;1240;0;10000;2440;750
P209500903;P209500903_19;S;10000;1240;0;11000;2440;750
P209500903;P209500903_20;T;10000;0;0;11000;1200;750
P209500903;P209500903_21;U;11000;0;0;12000;1200;750
P209500903;P209500903_22;V;11000;1240;0;12000;2440;750
P209500903;P209500903_23;W;12000;1440;0;13200;2440;750
Q209500903_1;Q209500903_1_1;A;0;620;0;1000;1820;750
Q209500903_1;Q209500903_1_2;B;1000;620;0;2000;1820;750
Q209500903_1;Q209500903_1_3;C;2000;1240;0;3000;2440;750
Q209500903_1;Q209500903_1_4;D;2000;20;0;3000;1220;750
Q209500903_1;Q209500903_1_5;E;3000;1240;0;4000;2440;750
Q209500903_1;Q209500903_1_6;F;3000;0;0;4000;1200;750
Q209500903_1;Q209500903_1_7;G;4000;0;0;5000;1200;750
Q209500903_1;Q209500903_1_8;H;4000;1240;0;5000;2440;750
Q209500903_1;Q209500903_1_9;I;5000;1240;0;6000;2440;750
Q209500903_1;Q209500903_1_10;J;5000;0;0;6000;1200;750
Q209500903_1;Q209500903_1_11;K;6000;0;0;7000;1200;750
Q209500903_1;Q209500903_1_12;L;6000;1240;0;7000;2440;750
Q209500903_1;Q209500903_1_13;M;7000;1240;0;8000;2440;750
Q209500903_1;Q209500903_1_14;N;7000;0;0;8000;1200;750
Q209500903_1;Q209500903_1_15;O;8000;0;0;9000;1200;750
Q209500903_1;Q209500903_1_16;P;8000;1240;0;9000;2440;750
Q209500903_1;Q209500903_1_17;Q;9000;1240;0;10000;2440;750
Q209500903_1;Q209500903_1_18;R;9000;0;0;10000;1200;750
Q209500903_1;Q209500903_1_19;S;10000;0;0;11000;1200;750
Q209500903_1;Q209500903_1_20;T;10000;1240;0;11000;2440;750
Q209500903_1;Q209500903_1_21;U;11000;1240;0;12000;2440;750
Q209500903_1;Q209500903_1_22;V;11000;0;0;12000;1200;750
Q209500903_1;Q209500903_1_23;W;12000;0;0;13200;1000;975
P209500901;P209500901_1;A;0;620;0;1000;1820;750
P209500901;P209500901_2;B;1000;620;0;2000;1820;750
P209500901;P209500901_3;C;2000;1240;0;3000;2440;750
P209500901;P209500901_4;D;2000;20;0;3000;1220;750
P209500901;P209500901_5;E;3000;1240;0;4000;2440;750
P209500901;P209500901_6;F;3000;0;0;4000;1200;750
P209500901;P209500901_7;G;4000;0;0;5000;1200;750
P209500901;P209500901_8;H;4000;1240;0;5000;2440;750
P209500901;P209500901_9;I;5000;1240;0;6000;2440;750
