Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P192574801;13030;19768.8;76.6574;10327.4;17722.3
P193574801;13060;19119.2;79.0415;8946.37;18648.7
P194574901;13020;22381.9;78.8387;11456.3;19047.1
P194574903;13230;22678.1;83.2462;11806.6;18943.6
P195574801;12050;19246.3;67.9548;10000.8;17572.5
P198574901;13040;20940.1;80.3229;10056.3;19203.1
P198574801;12050;15092;70.1458;9314.24;14201.7
P199574901;13040;21396.9;81.9723;10332.6;19344.5
P200574901;13240;20934.4;75.1801;10014.5;19245
P200574801;13236;20724.7;80.3955;9869.31;19201
P201574801;13250;17520.7;75.8813;9144.45;16824.1
P202574801;13220;21017.6;72.9081;10522.2;18748.8
P205574901;13050;19349.3;78.3768;9344.09;18425
P207574903;13226;22338.3;80.8168;11561.7;18883.3
P208574901;13020;22877.5;75.3359;11669.1;19299.9
P207574801;13040;19191.3;78.2076;9681.47;17881.9
P208574801;13060;18614.1;74.8078;8593.51;18546.3
P184574901;8010;11093.8;36.0736;10857.6;8442.24
P184574903;13030;22365.8;65.9259;11849.2;18582.7
P185574901;13040;20929.4;77.2874;9977.6;19282.1
P185574903;13030;22841.1;81.7355;11960.9;18930.6
P185574801;13220;20556.8;82.4301;9697.06;19229.6
P186574901;13060;19392.2;76.5395;8943.12;18925.3
P186574903;13030;22751.1;69.9088;11709.1;19127.9
P187574901;13040;20677.1;77.09;9631.45;19424.8
P187574903;13040;22665;77.1448;11819.8;18915.5
P187574801;13030;18095.2;83.5527;10552.4;15792
P188574901;13080;19992;73.2436;9047.77;19405.8
P188574903;13010;23017.5;68.0034;11592.8;19526.9
P191574901;13030;21417.3;78.9369;10132.2;19593.5
P191574903;13040;22660.9;78.2608;11794.9;18939.8
P191574801;13030;19024.3;85.7847;10372.7;16926.2
P192574901;13050;22490.1;76.8296;11146.1;19509.4
P193574901;13040;22029.6;77.2148;10563.1;19714.2
P194574801;13220;19356.4;82.7001;10271.8;17373.4
P195574901;13040;20816.6;74.7854;9985.43;19160.4
P195574903;13040;22584.8;77.1262;11691.4;18981.7
P198574903;13030;22466.7;78.2608;11694.3;18860.3
P199574903;13216;22815.6;71.0975;11604.3;19312.1
P201574901;13040;21147.2;78.4034;10117.8;19339.9
P201574903;13230;22627.7;84.6322;11741.1;18968
P202574901;13220;20488.6;71.7735;9633.37;19234.1
P202574903;13040;22018.2;77.5396;11175.3;19004.2
P205574903;13030;22698.6;74.6615;11888.3;18870.9
P207574901;13050;20302;74.9716;9799.72;18857.7
P208574903;13050;22295.4;71.4196;11280.4;19161.5
P184500901;8000;10879.5;9.27;10000.7;9205.77
P184500903;13200;24557.7;21.78;10655.6;22136.7
P184500905;13200;24414;23.13;11226.1;21341.9
P185500901;13200;24585.5;22.32;10657.9;22162
P185500905;13200;23743.8;20.34;10616.6;21367.3
P185500907;13200;24281;23.4;9864.63;22762.6
P186500901;13200;24639.1;22.05;10126.7;22821.7
P186500903;13200;24971.5;21.51;11612.7;21458.3
P186500905;13200;25106.8;24.57;11952.5;21205.8
P187500901;13200;23572.2;21.15;11024.5;20730.2
P187500903;13200;24826.7;21.78;10792.9;22249
P187500905;13200;24238.2;23.13;11391.9;20976.9
P188500901;13200;24545.9;22.32;11816.5;20800.1
P188500903;13200;25131.3;21.24;11840;21358.6
P188500905;13200;24599.4;21.24;10160.2;22743.7
P188500907;13200;25146.5;25.11;11688.9;21546.3
P191500901;13200;24663.8;21.78;11745.6;20999
P191500903;13200;24347.5;23.13;11532.3;20926
P192500901;13200;24612.3;22.32;10229.2;22677.9
