Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P201630901;7000;10452.5;38.646;10739.1;7936.26
P202630901;13200;23867.5;67.194;9892.4;22317.4
P185630901;10000;19122.1;55.764;11384.5;15869.2
P187630901;5000;9842.82;27.27;11165.8;6839.61
P188630901;10000;16514.7;45.558;11249.9;13415.5
P192630901;11000;20676.4;57.996;10509.6;18422
P194630901;13200;23619.8;72.828;9117.08;22954.5
P199630901;9000;13669.8;43.272;11086.4;10757.2
P208630901;11000;16657.8;50.076;9101.1;16010.7
P236630901;5000;7932.1;25.038;10156.3;6080.92
P237630901;11000;18373.8;59.166;10673.7;15932.2
P241630901;10000;14832.5;44.388;8886.22;14430.6
P243630901;12000;21048.5;67.14;9913.37;19474.4
P173630901;12000;23261.8;67.086;10863.8;20603.3
