Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P243630901;P243630901_1;A;0;0;0;1000;1200;2835
P243630901;P243630901_2;B;0;1240;0;1000;2440;2835
P243630901;P243630901_3;C;1000;1240;0;2000;2440;2835
P243630901;P243630901_4;D;1000;0;0;2000;1200;2835
P243630901;P243630901_5;E;2000;0;0;3000;1200;2835
P243630901;P243630901_6;F;2000;1240;0;3000;2440;2835
P243630901;P243630901_7;G;3000;1240;0;4000;2440;2835
P243630901;P243630901_8;H;3000;0;0;4000;1200;2835
P243630901;P243630901_9;I;4000;0;0;5000;1200;2835
P243630901;P243630901_10;J;4000;1240;0;5000;2440;2835
P243630901;P243630901_11;K;5000;1240;0;6000;2440;2835
P243630901;P243630901_12;L;5000;0;0;6000;1200;2835
P243630901;P243630901_13;M;6000;0;0;7000;1200;1905
P243630901;P243630901_14;N;6000;1240;0;7000;2440;1905
P243630901;P243630901_15;O;7000;1240;0;8000;2440;1905
P243630901;P243630901_16;P;7000;0;0;8000;1200;1905
P243630901;P243630901_17;Q;8000;0;0;9000;1200;1905
P243630901;P243630901_18;R;8000;1240;0;9000;2440;1905
P243630901;P243630901_19;S;9000;1240;0;10000;2440;1905
P243630901;P243630901_20;T;9000;0;0;10000;1200;1905
P243630901;P243630901_21;U;10000;0;0;11000;1200;1905
P243630901;P243630901_22;V;10000;1240;0;11000;2440;1905
P243630901;P243630901_23;W;11000;1240;0;12000;2440;1905
P243630901;P243630901_24;X;11000;0;0;12000;1200;975
P241630901;P241630901_1;A;0;0;0;1000;1200;2835
P241630901;P241630901_2;B;0;1220;0;1000;2420;2835
P241630901;P241630901_3;C;1000;1240;0;2000;2440;2835
P241630901;P241630901_4;D;1000;0;0;2000;1200;2835
P241630901;P241630901_5;E;2000;620;0;3000;1820;2835
P241630901;P241630901_6;F;3000;1240;0;4000;2440;2835
P241630901;P241630901_7;G;3000;0;0;4000;1200;2835
P241630901;P241630901_8;H;4000;0;0;5000;1200;1905
P241630901;P241630901_9;I;4000;1240;0;5000;2440;1905
P241630901;P241630901_10;J;5000;1240;0;6000;2440;1905
P241630901;P241630901_11;K;5000;0;0;6000;1200;1905
P241630901;P241630901_12;L;6000;0;0;7000;1200;1905
P241630901;P241630901_13;M;6000;1240;0;7000;2440;1905
