Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P185630901;11000;21608.9;64.8;11417.9;18318
P187630901;12000;23870.7;63.738;11324.6;20686.3
P192630901;12000;21916;64.8;10099.8;20129.2
P194630901;13200;23619.8;72.828;9135.51;22933.4
P199630901;13200;22753.6;75.06;8729.8;22530.2
P202630901;13200;23996.5;67.194;9971.47;22356.2
P208630901;11000;19080.5;63.684;10322.6;17039.5
P236630901;13200;23883.3;70.542;9677.16;22578.8
P241630901;9000;14832.5;44.388;11283;11695.5
P243630901;12000;21048.5;67.14;9924.3;19462
P173630901;12000;23261.8;67.086;10863.8;20603.3
