Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P196395313;P196395313_1;A;0;0;0;1000;1200;2835
P196395313;P196395313_2;B;0;1240;0;1000;2440;2835
P196395313;P196395313_3;C;1000;1240;0;2000;2440;2835
P196395313;P196395313_4;D;1000;0;0;2600;1200;2700
P196395313;P196395313_5;E;2000;1240;0;3000;2440;2835
P196395313;P196395313_6;F;2600;0;0;3610;1206;2616
P196395313;P196395313_7;G;3000;1240;0;4600;2440;2700
P196395313;P196395313_8;H;3610;0;0;5210;1200;2700
P196395313;P196395313_9;I;4600;1240;0;6200;2440;2700
P196395313;P196395313_10;J;5210;0;0;6810;1200;2700
P196395313;P196395313_11;K;6200;1240;0;7200;2440;2835
P196395313;P196395313_12;L;6810;0;0;7810;1200;2835
P196395313;P196395313_13;M;7200;1240;0;8200;2440;2835
P196395313;P196395313_14;N;7810;0;0;8810;1200;2835
P196395313;P196395313_15;O;8200;1240;0;9200;2440;2835
P196395313;P196395313_16;P;8810;0;0;9810;1200;2835
P196395313;P196395313_17;Q;9200;1240;0;10200;2440;2835
P196395313;P196395313_18;R;9810;0;0;10810;1200;2835
P196395313;P196395313_19;S;10200;1240;0;11000;2440;2844
P196395313;P196395313_20;T;10810;0;0;12410;1200;2700
P196395313;P196395313_21;U;11000;1240;0;12600;2440;2700
P196395313;P196395313_22;V;12410;0;0;13420;1206;2655
P196395313;P196395313_23;W;12600;1240;0;13400;2440;2800
P196395309;P196395309_1;A;0;0;0;1600;1200;2700
P196395309;P196395309_2;B;0;1240;0;1600;2440;2700
P196395309;P196395309_3;C;1600;1240;0;3200;2440;2700
P196395309;P196395309_4;D;1600;0;0;3200;1200;2700
P196395309;P196395309_5;E;3200;0;0;4800;1200;2700
P196395309;P196395309_6;F;3200;1234;0;4210;2440;2655
P196395309;P196395309_7;G;4210;1240;0;5210;2440;2835
P196395309;P196395309_8;H;4800;0;0;6400;1200;2700
P196395309;P196395309_9;I;5210;1240;0;6810;2440;2700
P196395309;P196395309_10;J;6400;0;0;7400;1200;2835
P196395309;P196395309_11;K;6810;1240;0;7810;2440;2835
P196395309;P196395309_12;L;7400;0;0;8400;1200;2835
P196395309;P196395309_13;M;7810;1240;0;8610;2440;2800
P196395309;P196395309_14;N;8400;0;0;9410;1206;2972
P196395309;P196395309_15;O;8610;1240;0;10210;2440;2700
P196395309;P196395309_16;P;9410;0;0;11010;1200;2700
P196395309;P196395309_17;Q;10210;1240;0;11810;2440;2700
P196395309;P196395309_18;R;11010;0;0;12610;1200;2700
P196395309;P196395309_19;S;11810;1240;0;13410;2440;2700
P196395309;P196395309_20;T;12610;0;0;13410;1200;2888
P196395311;P196395311_1;A;0;0;0;1000;1200;2835
P196395311;P196395311_2;B;0;1234;0;1010;2440;2902
P196395311;P196395311_3;C;1000;0;0;2000;1200;2835
P196395311;P196395311_4;D;1010;1240;0;1810;2440;2844
P196395311;P196395311_5;E;1810;1240;0;2810;2440;2835
P196395311;P196395311_6;F;2000;0;0;3600;1200;2700
P196395311;P196395311_7;G;2810;1234;0;3820;2440;2972
P196395311;P196395311_8;H;3600;0;0;4600;1200;2835
P196395311;P196395311_9;I;3820;1240;0;4820;2440;2835
P196395311;P196395311_10;J;4600;0;0;5600;1200;2835
P196395311;P196395311_11;K;4820;1240;0;5820;2440;2835
P196395311;P196395311_12;L;5600;0;0;6600;1200;2835
P196395311;P196395311_13;M;5820;1240;0;6820;2440;2835
P196395311;P196395311_14;N;6600;0;0;8200;1200;2700
P196395311;P196395311_15;O;6820;1234;0;7830;2440;2055
P196395311;P196395311_16;P;7830;1240;0;8830;2440;2835
P196395311;P196395311_17;Q;8200;0;0;9800;1200;2700
P196395311;P196395311_18;R;8830;1240;0;10430;2440;2700
P196395311;P196395311_19;S;9800;0;0;11400;1200;2700
P196395311;P196395311_20;T;10430;1240;0;11230;2440;2844
P196395311;P196395311_21;U;11230;1240;0;12230;2440;2835
P196395311;P196395311_22;V;11400;0;0;12400;1200;2835
P196395311;P196395311_23;W;12230;1240;0;13230;2440;2835
P196395311;P196395311_24;X;12400;0;0;13400;1200;2835
P196395305;P196395305_1;A;0;1240;0;1000;2440;2835
P196395305;P196395305_2;B;0;0;0;1000;1200;2835
P196395305;P196395305_3;C;1000;0;0;2600;1200;2700
P196395305;P196395305_4;D;1000;1240;0;2000;2440;2835
P196395305;P196395305_5;E;2000;1240;0;3600;2440;2700
P196395305;P196395305_6;F;2600;0;0;4200;1200;2700
P196395305;P196395305_7;G;3600;1240;0;5200;2440;2700
P196395305;P196395305_8;H;4200;0;0;5800;1200;2700
P196395305;P196395305_9;I;5200;1240;0;6000;2440;2771
P196395305;P196395305_10;J;5800;0;0;6800;1200;2835
P196395305;P196395305_11;K;6000;1240;0;7000;2440;2835
P196395305;P196395305_12;L;6800;0;0;8400;1200;2700
P196395305;P196395305_13;M;7000;1240;0;8600;2440;2700
P196395305;P196395305_14;N;8400;0;0;9400;1200;2835
P196395305;P196395305_15;O;8600;1234;0;9610;2440;2972
P196395305;P196395305_16;P;9400;0;0;10400;1200;2835
P196395305;P196395305_17;Q;9610;1240;0;10610;2440;2835
P196395305;P196395305_18;R;10400;0;0;11400;1200;2835
P196395305;P196395305_19;S;10610;1240;0;11610;2440;2835
P196395305;P196395305_20;T;11400;0;0;12400;1200;2835
P196395305;P196395305_21;U;11610;1240;0;13210;2440;2700
P196395305;P196395305_22;V;12400;0;0;13400;1200;2835
P196395303;P196395303_1;A;0;1240;0;1600;2440;2700
