Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P184395311;10810;8041.64;67.9793;7899.24;8766.02
P185395307;13020;9636.91;83.8247;7052.87;11327.1
P186395313;13420;10666.7;89.4887;7432.58;11923.6
P187395301;13410;10944;87.9423;7288.83;12364.9
P185395303;13410;10334.2;88.5324;7262.88;11784.8
P185395313;13410;10673.3;89.6707;7414.56;11950.8
P186395307;13410;10428.9;88.1971;7074.21;12094.8
P186395301;13420;10945.7;86.8974;7390.01;12251.2
P186395303;13400;11020.3;88.2855;6795.26;13004.5
P186395305;13410;10489.3;88.8294;7512.11;11655.4
P186395309;13420;9681.79;89.2657;7098.24;11320.2
P187395307;13410;10051.9;87.3093;6550.59;12315.2
P187395303;13420;10518.7;88.9539;7291.48;11936.6
P187395305;13410;10491.8;89.379;7033.65;12203.9
P187395311;13410;10362.4;88.1579;6728.28;12423
P187395309;13420;11560.1;88.9963;7637.45;12583.2
P187395317;13420;10187;87.0662;6967.41;11974.7
P188395307;12800;9750.91;74.0803;8288.72;10030.8
P188395301;13420;9598.15;87.6255;6670.08;11725.2
P188395303;13420;11457.2;87.8948;7526.54;12606.9
P188395305;13410;9934.25;88.272;7251.31;11398
P188395311;13420;10596.7;89.2099;6985.04;12364.3
P188395309;13410;10642.2;88.3199;7459.92;11867.9
P188395313;13420;10583.6;87.6033;7182.16;12126.3
P188395317;13420;10715.3;89.0523;7303.71;12119.2
P189395307;13410;10241.1;87.3516;7186.78;11778.5
P189395301;13410;10450.4;87.8524;7426.26;11714.5
P189395303;13430;10250;89.1017;7388.65;11557
P189395305;13420;10819.4;89.083;7468.5;12035.3
P189395311;13420;10464.3;85.6118;7098.34;12102.6
P189395309;13410;10468.3;88.3051;7183.36;12009.6
P189395313;13420;9394.13;89.4493;6954.79;11196.3
Q191395307_1;13410;12121.7;86.5056;8740.61;11886
P191395307;13400;10352.1;88.5454;6861.84;12260.3
P191395311;10220;6856.68;60.1317;7532.66;7999.39
P191395309;13420;10203.3;85.1884;7239.94;11680
P191395313;13420;10759.4;87.8168;7641.9;11777.4
P191395317;13430;10338.4;89.5171;7651.19;11345.9
P192395307;13410;10449.5;88.4528;7548.83;11573.7
P192395301;13410;10129.5;88.0566;6943.42;11944.7
P192395303;13410;10210.1;88.585;7183.81;11750.9
P192395305;13420;10691.7;88.9625;7155.75;12264.6
P192395311;13410;10064.2;88.6753;6905.36;11922.7
P192395309;13410;11146.1;86.244;7483.26;12345.1
P192395313;13420;10034.6;89.5501;7421.1;11304.6
P192395317;13410;9645.28;89.9046;7288.81;11066.3
P193395307;13400;10917.9;87.9255;7250.55;12382.5
P193395301;13410;10419.2;88.2986;7264.07;11868.4
P193395303;13420;10986.2;88.137;7518.47;12145.1
P193395305;13430;11200.8;89.1621;8075.15;11724.5
P193395309;13410;10479.9;88.0408;7563.08;11587.9
P193395313;13420;10587.3;88.406;7045;12286.5
P193395317;13410;10116.7;88.5328;7431.95;11374.4
P194395307;13410;10226.6;88.7858;6565.76;12472.6
P194395301;13420;10697.7;88.7826;7442.92;11942.8
P194395303;13410;10693.2;89.5523;6827.87;12640.2
P194395305;13420;10490.7;88.2228;6853.9;12408
