Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P210390027;P210390027_1;A;0;1660;0;570;2440;909
P210390027;P210390027_2;B;0;0;0;1800;1200;2615
P210390027;P210390027_3;C;570;1240;0;2170;2440;2700
P210390027;P210390027_4;D;1800;0;0;3405;1205;2205
P210390027;P210390027_5;E;2170;1240;0;4370;2440;1500
P210390027;P210390027_6;F;3405;0;0;5205;1205;2755
P210390027;P210390027_7;G;4370;1240;0;5370;2440;2385
P210390027;P210390027_8;H;5205;0;0;7405;1200;2455
P210390027;P210390027_9;I;5370;1235;0;6975;2440;2395
P210390027;P210390027_10;J;6975;1240;0;9175;2440;2455
P210390027;P210390027_11;K;7405;0;0;9805;1200;1490
P210390027;P210390027_12;L;9175;1240;0;11375;2440;1500
P210390027;P210390027_13;M;9805;0;0;12005;1200;1500
P210390027;P210390027_14;N;11375;1240;0;13175;2440;2285
P210390027;P210390027_15;O;12005;0;0;13410;1205;2255
P210390007;P210390007_1;A;0;0;0;1900;1200;750
P210390007;P210390007_2;B;0;1240;0;1000;2440;2610
P210390007;P210390007_3;C;1000;1240;0;3400;2440;1490
P210390007;P210390007_4;D;1900;0;0;4300;1200;1490
P210390007;P210390007_5;E;3400;1235;0;5200;2440;2935
P210390007;P210390007_6;F;4300;0;0;5905;1205;2395
P210390007;P210390007_7;G;5200;1235;0;6805;2440;2285
P210390007;P210390007_8;H;5905;0;0;7705;1200;2285
P210390007;P210390007_9;I;6805;1240;0;9205;2440;1490
P210390007;P210390007_10;J;7705;0;0;9305;1200;1815
P210390007;P210390007_11;K;9205;1240;0;11205;2440;1500
P210390007;P210390007_12;L;9305;0;0;10705;1200;1250
P210390007;P210390007_13;M;10705;0;0;12905;1200;1500
P210390007;P210390007_14;N;11205;1240;0;13405;2440;1500
P210390039;P210390039_1;A;0;0;0;3200;2400;1700
P210390039;P210390039_2;B;3200;0;0;6400;2400;1700
P210390039;P210390039_3;C;6400;0;0;10000;2400;1700
