Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P208390017;13205;2877.39;53.9404;4313.4;7693.73
P209390023;13405;10269.2;61.962;6658.63;12409.3
Q208390035_3;10000;1390.87;40.8;4796.24;5656.22
Q208390035_2;11505;6204.34;37.7115;7255.85;7662.93
Q208390037_3;13200;3212.43;52.176;4257.42;8092.65
Q208390037_2;13400;3879.16;57.4097;3938.77;9123
Q208390037_1;13200;1835.15;53.856;4672.76;6241.41
Q208390035_1;13005;3971.08;55.5604;4121.21;9006.74
P208390035;13415;7954.57;59.3406;5245.85;11706.9
P208390037;13205;5318.65;58.4437;3684.18;10853
P208390001;13410;10241.7;69.8872;7065.78;11917.2
P208390029;13200;1835.65;53.856;4677.19;6236.85
P208390011;13400;3519.6;55.5;4138.11;8535.97
P208390015;13205;5794.7;58.6198;4579.58;10307.3
Q208390013_2;13205;7867.86;60.9065;3788.62;13283
Q208390013_1;13200;1835.65;53.856;4678.4;6235.47
P208390013;13500;4965.51;56.9995;3713.22;10466.7
P208390005;13405;6283.06;60.1458;4810.74;10531.9
P208390031;13400;3523.99;56.2908;4067.84;8620.55
P208390039;13405;11632.4;72.2119;8309.01;11889.2
P208390025;13200;1835.15;53.856;4670.35;6244.15
P208390007;13200;3497.38;55.5768;4624.71;7958.47
P208390027;13400;3953.39;54.2124;4030.15;9092.96
P208390009;13400;3852.87;55.0452;3913.01;9126.1
P208390033;13200;1835.15;53.856;4677.4;6236.11
Q209390023_2;13200;1835.15;53.856;4670.35;6244.15
Q209390023_1;13405;11021.2;61.3964;7286.35;12445
P209390035;13410;5999.52;66.2931;3818.86;11380.2
P209390037;13200;1838.93;53.856;4673.6;6244.22
P209390001;13200;9301.34;62.212;6047.96;12138.3
P209390029;13200;1835.15;53.856;4677.4;6236.11
P209390011;13410;7114.65;61.8185;3907.48;12394.2
P209390015;13200;7330.32;59.6841;3632.08;12924.1
P209390013;13400;4764.05;61.8992;3720.89;10256.5
P209390005;13415;8341.74;66.923;6298.31;10893
P209390031;13200;1831.87;53.856;4678.11;6232.03
P209390039;13100;7760.15;56.8548;4544.55;12312.7
P209390025;13400;2458.11;51.1512;4487.31;7075.99
P209390007;13400;4235.7;56.4252;3863.96;9564.91
P209390027;13215;6638.19;61.0626;4589.02;11140
P209390009;13200;1835.65;53.856;4675.67;6238.58
P209390033;13405;7874.7;55.2336;6502.1;10193.4
P209390017;13405;4014.34;54.0996;4071.44;9106.78
Q210390023_1;13400;4278.79;55.332;3888.05;9580.51
P210390015;13200;6034.16;55.9147;4854.33;10233.2
P210390023;13005;5207.53;58.9513;3943.31;10446.2
P210390035;13370;1848.26;52.4365;4674.74;6252.26
P210390037;13410;9569.22;68.3427;7653.17;10574.4
P210390001;12800;1785.66;52.224;4703.15;6157.24
P210390029;13400;9518.22;64.1226;6417.09;11933.9
P210390011;13370;1946.69;52.6281;4627.63;6404.44
P210390013;13410;6978.27;57.2467;4661.84;11397
P210390005;12800;1785.66;52.224;4701.95;6158.61
P210390031;13405;6736.13;61.8897;4128.83;11763.1
P210390039;13405;6156.2;58.0003;3804.07;11553.8
P210390007;13500;5525.09;56.2704;3989.37;10711.2
P210390027;13405;10005.2;66.7088;8415.8;10140.1
P184395313;6610;4588.96;36.2168;7410.6;5870.94
P185395307;13410;10423.5;85.2062;7509.53;11592.6
P185395301;13410;8985.15;88.8602;6583.46;11211
P185395317;13400;9395.5;89.1;6833.74;11335.8
P186395307;13430;11320.7;86.6555;7458.47;12548.1
P186395301;13420;11357.4;89.8484;7236.64;12837.9
P186395303;13420;10880.3;86.9136;7381.74;12195.2
P186395305;13420;10819.4;90.0391;7467.71;12036.2
P187395307;13410;10138;85.9445;6666.26;12269.3
P187395301;13410;10911;88.5988;7543.69;12041.1
P187395303;13420;10167.4;88.1318;6691.67;12269.8
P187395305;13410;11550.2;89.2164;7583.4;12635
P187395311;13420;10837.2;89.4687;7566.27;11941.5
P187395309;13420;9961.94;88.7552;7459.66;11187.9
P187395313;13410;10598.4;88.8414;7176.21;12147.9
P188395307;13020;9874.31;80.2107;7638.58;10896.2
P188395301;13410;10655.6;89.0992;7357.14;11998.6
P188395303;13410;9972.39;88.1705;7332.11;11343.9
P188395305;13420;10949.1;85.7631;7282.25;12377.6
P188395311;13420;10590;88.1192;7612.52;11641.6
P188395309;13410;10638;87.9271;7522.56;11792.2
P188395313;13410;10194.5;87.9839;7013.67;11929.5
P188395317;13410;10362.3;90.087;7179.85;11907.6
P189395307;13430;10266.9;85.3901;7519.43;11424.7
P189395301;13420;10969.4;89.0891;7063.85;12647.1
P189395303;13400;10151.2;87.1322;6873.38;12046.3
P189395305;13430;10922.7;88.5792;7529.44;12069.1
P189395311;13410;10560.2;87.4062;7313.85;11952.6
P189395309;13410;10031.5;88.3187;6969.68;11816.7
P189395313;13420;10329.5;89.3737;6641.72;12488.9
Q191395307_1;13410;11123.6;84.5567;7867.21;11884.5
P191395307;13420;10168.9;88.778;8120.3;10641.1
P191395311;9820;7475.09;60.0786;7685.66;8443.21
P191395309;13010;9942.17;83.9161;7596.78;11011.7
P191395313;12800;9539.15;77.4916;7754.5;10428.7
P191395317;13410;10111.5;89.894;7329.07;11486.6
P192395307;13400;10108.7;87.1597;7580.04;11197.3
P192395301;13420;10827.5;89.2658;7368.01;12158.1
P192395303;13410;10082;88.6403;7053.37;11771.6
P192395305;13410;10807.4;89.3394;7009.41;12547.2
P192395311;13420;10898.4;89.4221;7576.77;11990.8
P192395309;13410;10036;88.7283;7438.25;11286.5
P192395313;13420;9955.85;89.1754;6955.97;11756.6
P192395317;13400;10362.3;89.6045;7243.02;11835.5
P193395307;13420;10519.5;87.6634;6528.58;12808
P193395301;13420;11799.8;85.1443;8574.29;11753.8
P193395303;13400;9901.82;85.9202;7390.55;11206.7
P193395305;13420;10602.9;88.2912;7688.36;11567.9
P193395309;13410;10212.6;86.4564;7133.16;11811.2
P193395313;13430;9715.34;88.2724;7046.4;11412.9
P193395317;13410;10807.6;88.6411;7135.12;12404
P194395307;13410;10174.9;87.3615;6439.16;12565.4
P194395301;13410;10955.5;87.8492;7384.65;12267.1
P194395303;13410;9928.68;88.2588;7038.75;11635
P194395305;13410;10740.5;88.218;7391;12044.9
P194395311;13400;10464.1;87.949;6898.25;12330.7
P194395309;13420;10996.3;89.7044;7370.11;12324.5
P194395313;13420;10254.2;88.4526;7421.75;11523.4
P194395317;13400;9964.36;90.6725;7314.77;11355.7
P195395307;13430;10476.9;84.005;6975.77;12255.1
P195395301;13430;10690.6;88.7225;6934.33;12516.1
P195395303;13410;10795.2;88.8128;7285.23;12220.2
P195395305;13410;10194.5;88.1603;7025.21;11916.3
P195395311;13420;11105.2;88.335;7404.88;12393.7
P195395309;13420;10210.9;88.6448;6896.2;12079.9
P195395313;13420;10657.2;89.6607;7298.99;12066.6
P196395307;13420;10061.5;87.4478;7250.78;11525.9
P196395301;13410;11010.9;88.8031;7321.21;12394.9
P196395303;13410;10183.2;88.0255;6873.31;12078.4
P196395305;13410;10511.1;88.7005;7278.74;11943.5
P196395311;13420;9965.15;88.5356;6586.1;12188
P196395309;13410;10380;85.0807;7366.03;11712.9
P196395313;13410;10521.9;88.6794;7261.31;11974.2
Q194390035_1;5800;3320.61;19.6539;6575.39;5555.71
P194390035;13200;1831.87;53.856;4680.51;6229.28
Q194390037_4;12600;2430.24;48.1776;4555.5;6970.3
Q194390037_3;13200;1838.93;53.856;4681.3;6235.44
Q194390037_2;13405;3810.97;54.3713;4022.01;8959.83
Q194390037_1;13400;4102.96;56.6555;3853.67;9443.91
P194390037;13210;8265.23;61.412;4942.11;12364.1
P194390001;13415;8652.41;58.6602;3958.38;13873.9
Q194390029_1;13400;3043.52;58.0536;4267.07;7912.73
P194390029;13200;1835.65;53.856;4674.98;6239.37
Q194390011_1;13415;9766.31;65.646;5894.05;12778.9
P194390011;13400;3358.54;57.6344;4121.67;8393.66
P194390015;13415;9601.8;68.8134;5245.15;13354.9
P194390013;13400;2793.72;52.9185;4444.8;7460.11
P194390005;13200;5390.56;57.8916;3552.49;11075.2
P194390031;13400;5337.1;58.188;5095.51;9260.94
P194390039;13405;4657.1;59.8863;3913.86;9929.37
P194390025;13405;7252.23;61.0896;4183.03;12217.3
P194390007;13400;3016.67;55.812;4280.59;7870.45
P194390027;13200;5200.5;57.7501;3734.76;10677.2
P194390009;13405;7478.9;59.9854;5871.74;10516.9
P194390033;13000;3321.99;55.1456;4222.76;8241.76
P194390017;13205;4505.86;57.5449;3724.21;9994.54
P195390023;13000;3113.76;57.6372;4295.98;7949.98
P195390035;13400;4523.49;58.5718;3809.08;9915.32
P195390037;13305;6735.28;57.1237;5147.19;10600.1
P195390001;13400;10056.4;64.2283;6965.61;11846.2
P195390029;13200;1831.87;53.856;4673.46;6237.33
P195390011;13415;11336.2;72.2433;6012.35;14213.8
P195390015;13405;2876.28;53.0145;4315.3;7690.45
P195390013;13200;1835.15;53.856;4672.76;6241.41
P195390005;13405;7067.52;56.427;4774.96;11357.2
P195390031;13410;7497.01;60.6535;3988.19;12684.5
P195390039;13200;1835.65;53.856;4675.33;6238.98
P195390025;13400;3997.55;55.234;3893.36;9293.2
P195390007;13305;9484.45;63.4953;6353.17;11973.1
P195390027;13410;4996.87;56.211;3750.05;10456.1
P195390009;13405;5515.18;61.2189;3758.04;10965.3
P195390033;13405;6251.92;56.6258;4637.36;10698.6
P185391307;13220;10199.8;85.8763;7313.31;11592.8
P186391301;13210;10301.3;87.957;7415.84;11577.3
P184391303;3010;1475.7;13.3663;5431.83;5015.76
P184391307;13000;9122.67;73.7028;7435.99;10375.7
P185391305;7600;5990.83;48.294;8028.59;6567.61
P186391303;13210;9781.75;83.5131;7557.37;10896.3
P186391311;13200;10196.4;88.3437;7293.36;11612.2
P187391301;13030;9631.84;84.0818;7206.86;11146.3
P187391309;13210;10450.5;87.3512;7283.32;11877.7
P187391307;13230;10252.8;87.1708;7204.52;11770
P187391303;13216;10228.8;87.7348;7413.49;11507.5
P187391311;13200;10273;88.6798;7480.69;11475
P188391301;13020;10252.1;85.7371;7419.72;11523.7
P188391309;13200;10358.7;88.5478;7422.98;11626.5
P188391307;13230;9396.26;84.764;6888.53;11274
P188391303;13230;10239.8;87.6707;7129.18;11843
P189391309;13210;10191.2;85.5555;7396.32;11489.5
P189391315;13210;10381.5;87.2442;7445.07;11624.1
P189391303;13020;10478.1;88.8128;7334.48;11846.9
P189391311;13230;9992.79;88.8346;7304.48;11395.9
P191391307;13030;9967.23;85.3096;7318.61;11354.2
P191391303;13210;10363.8;87.8912;7462.93;11586.1
P191391311;13210;9967.21;87.1667;7554.15;11085.4
P192391301;13210;10158;86.8573;7276.07;11593.5
P192391309;13220;10305.1;88.3335;7412.78;11584.6
P192391315;13030;9941.32;87.6067;7030.09;11657.5
P192391311;13210;10483.5;88.6851;7249.13;11949.8
P193391301;13000;9897.15;85.7006;7247.99;11364.7
P193391307;13210;10132.5;87.7379;7224.73;11626.6
P193391303;13220;10430.6;88.2059;7178;11978
P193391311;13030;10081.3;87.8208;7363.16;11417.5
P194391301;13230;9967.71;86.0898;7263.88;11417.1
P194391307;13200;10159.3;86.7538;7208.23;11672.3
P194391303;13220;10260.5;87.411;7273.58;11698.9
P194391311;13220;10070.8;87.5869;7263.07;11521.1
P195391301;13200;9548.84;83.6043;6916.53;11394.6
P195391309;13210;10252.4;86.6839;7395.66;11551.4
P195391307;13210;10297.1;88.0699;7153.99;11871.9
P195391303;13020;10335.3;88.1817;7625.18;11372.5
P195391311;13410;10162.8;88.5568;7355.18;11508
P196391309;13220;10093.7;86.5053;7165.36;11655.5
P196391307;13210;10433.6;87.565;7443.9;11677.6
P196391315;13030;10093.8;88.3866;7228.9;11583.2
P196391303;13416;10101.1;88.8529;6951.28;11907.2
Q198395307_4;1600;299.28;1.7856;4399.37;5017.51
Q198395307_3;13410;11143;84.7672;7827.83;11948.9
Q198395307_2;13420;11199.5;85.8158;7403.04;12490.1
Q198395307_1;13410;8617.2;85.4456;6056.29;11444.6
P198395307;13400;10254.1;87.3351;7501.02;11432.9
P198395311;13430;10367.8;88.4789;7536.19;11506.5
P198395309;13210;10039.5;87.1013;6850.55;11960.6
P198395313;11210;7886.19;67.5939;7584.61;8969.61
P198395317;13410;10303.3;88.0651;7238.88;11781.2
Q199395307_1;13200;9841.41;85.878;7408.72;11125.6
P199395307;13410;10470.9;86.2256;7733.53;11384.3
P199395301;13410;11231.1;88.2986;7139.73;12822.2
P199395303;13410;10321;88.38;6799.13;12300.8
P199395305;13430;10775.9;86.642;7234.97;12258.3
P199395311;13420;10801.3;89.3843;7625.98;11837.5
P199395309;13410;10782.8;87.8227;7320.79;12167.3
P199395313;13420;10378.3;89.9101;7250.76;11842.7
P199395317;13400;9993.35;89.7242;7117.05;11610.3
P200395307;13410;10340.5;86.5471;7314.35;11732.3
P200395301;13410;11276.9;88.1666;7681.74;12249.5
P200395303;13420;10456.5;88.0981;6402.51;12888.9
P200395305;13420;9761.82;88.3594;6939.86;11581
P200395309;13420;10900.3;89.1524;7362.78;12236.8
P200395317;13410;10015;88.6534;7070.09;11685.5
P201395307;13400;11855.2;87.6106;7667.15;12844.4
P201395301;13420;9444.91;89.3425;7369.86;10773.4
P202395307;13420;10600.1;83.7153;7471.06;11813.1
P202395301;13410;10365.5;88.3065;7265.82;11812.7
P202395303;13420;10354.4;88.746;6924.44;12191.2
P202395311;13400;11067.7;87.9685;7525.75;12218.3
P202395313;11200;7288.25;62.3274;7724.89;8211.6
P202395317;13420;10286.7;89.4308;7247.86;11754.4
P203395307;13410;10494.9;86.9491;7237.23;11974.8
P203395301;13420;10370.6;86.3646;7179.25;11916.6
P203395303;13410;10967.8;88.932;7241.1;12443.2
P203395305;13410;9420.63;87.7444;6870.99;11318.4
P203395311;13410;12059.9;88.2738;8779.85;11779.3
P203395309;13440;9996.36;89.5949;7723.72;10921
P203395313;13410;10175.7;90.7396;7215.09;11680.8
P205395311;13410;9963.47;86.9776;6787.54;11956.5
P205395309;13420;11077.5;85.6459;6995.88;12832.8
P205395313;13410;10339.7;88.6097;7454.94;11571.1
P206395307;13420;10164;85.1655;6381.39;12620.5
P206395301;13410;10636.9;89.4436;6715.43;12712.2
P206395303;13420;10440.8;89.2532;7425.25;11706.1
P206395305;13420;11106.6;89.1305;7548.12;12231.6
P206395311;13420;10201.2;89.0302;7091.68;11847.2
P206395309;13420;10198.7;88.8473;7050.73;11891.4
P206395313;13420;10859.5;89.027;6930.59;12689.2
P206395317;13410;10051.8;90.8061;7306.89;11452.2
P207395307;13400;10916.3;86.4846;7111.99;12539.1
P207395301;13410;10960.5;88.1507;7326.43;12338.5
P207395303;13430;10442.8;89.1421;7217.4;11945.3
P207395305;13410;10487.9;86.0545;6764.84;12506.8
P207395309;13410;10660.2;88.4644;6947.92;12470.2
P207395313;12620;8266.07;74.7917;7416.18;9541.7
P207395317;13400;10605.4;87.4338;7497.62;11788.1
P208395307;13420;9935.54;84.9556;7117.34;11552.2
P208395301;13440;10314;88.8378;6817.18;12273.1
P208395303;13400;11310.9;87.5377;7906.49;12027
P208395305;13410;9962.72;88.7608;7277.56;11396.5
P208395311;13420;10222.9;88.4043;7454.31;11455
P208395309;13420;10335.7;89.4082;7693.81;11294.5
P208395313;13400;10612.9;87.9503;7733.53;11526.3
P208395317;13410;9963.38;90.0666;7295.08;11377.2
P209395307;13400;10089.1;88.1151;6762.86;12110.3
P209395301;13410;11028.4;86.0759;7659.48;12026.4
P209395303;13410;10333.9;88.8692;6698.96;12428
P209395305;13420;10390;88.6447;7074.12;12056
P209395311;13420;10724.3;89.485;7249.59;12190
P209395309;13420;9895.82;89.2391;7127.92;11500.4
P209395317;13210;10202;87.9368;7077.49;11864.1
P210395307;13410;10634.1;86.1232;7674.88;11614.6
P210395301;13420;10254.8;88.2119;7255.14;11714.2
P210395303;13420;9806.68;88.1485;6911.15;11658.6
P210395305;13410;11435;88.9905;7211.8;12943.9
P210395311;13420;9979.92;90.139;6789.8;11970.3
P191390007;13380;8273;64.6622;7218.46;9774.26
Q192390035_1;13400;3615.21;52.0445;4171.34;8593.65
P191390027;13205;4904.54;58.0956;3785.78;10323
Q191390035_3;8200;1659.45;29.8332;5220.77;5440.34
Q191390035_2;13400;4032.38;55.8129;4116.72;9073.16
Q191390037_3;13200;2428.2;54.8364;4447.44;7091.58
Q191390037_2;13200;1835.65;53.856;4673.27;6241.33
Q191390037_1;13405;9683.99;58.2659;4361.44;14445.5
Q191390035_1;13410;6114.4;61.7583;4324.63;10917.9
P191390035;13400;5797.3;58.2805;3912.99;11070.6
P191390037;13500;3338.06;50.118;4184.45;8301.55
P191390029;13400;9873.71;68.5385;5000.15;13906.4
P191390011;13200;1835.15;53.856;4670.35;6244.15
P191390013;13405;6019.84;61.6264;4024.79;11165.5
P191390005;13400;3191.61;53.9868;4243.6;8087.6
P191390031;13400;4045.78;56.8428;3884.85;9351.16
P191390039;13200;1831.87;53.856;4680.51;6229.28
P191390025;13410;5346.73;57.1127;4010.79;10508.4
P191390009;13405;6033.49;59.7714;3297.43;12009.2
P191390033;13200;1838.93;53.856;4677.88;6239.34
Q192390037_2;12600;1853.96;47.2958;4671.79;6261.32
Q192390037_1;13385;9843.74;65.442;7124.88;11451.8
P192390035;13200;12048.5;68.2724;4416.01;16747.7
P192390037;13200;1831.87;53.856;4677.06;6233.22
P192390001;13410;7545.86;62.7949;6947.31;9356.53
P192390029;13410;3724.17;57.363;4145.61;8731.98
P192390011;13500;7248.4;58.8094;3422.07;13081.9
P192390015;13400;6170.91;60.7843;4237.31;11074.1
P192390013;13200;1838.42;53.856;4679.09;6237.45
P192390005;13405;3807.14;56.2298;4029.03;8947.98
P192390031;13410;11223.5;67.2249;7432.39;12480.6
P192390039;13200;1832.37;53.856;4676.71;6234.13
P192390025;13400;4352.35;56.8428;3774.85;9783.25
P192390007;13400;4357.75;57.4678;3756.55;9809.53
P192390027;13400;8292.99;64.1972;5216.26;12079
P192390009;13500;9158.66;60.9366;8920.21;8717.97
P202390017;12800;1785.66;52.224;4701.95;6158.61
P203390035;13400;3556.09;55.4766;4062.76;8658.44
Q201390035_5;10410;2678.24;38.6457;5855.76;5734.53
Q201390035_4;13200;3434.34;51.51;4762.67;7738
Q201390029_1;13200;1831.87;53.856;4676.02;6234.41
Q201390035_3;13200;1838.93;53.856;4676.01;6241.47
Q201390035_2;13400;3994.16;56.5788;5721.66;7203.48
Q201390035_1;13405;4577.5;55.8141;4099.45;9637.99
P201390035;13415;9765.59;64.9072;6138.64;12499.1
P201390037;13200;1831.87;53.856;4679.31;6230.65
P201390001;13410;9713.68;64.1502;5345.91;13351.8
P201390029;13370;1890.64;52.4365;4659.43;6312.1
P202390029;13400;4412.94;51.396;6827.88;6359.89
P202390023;13420;11885.8;72.361;7369.47;13214.8
P202390035;13370;1910.86;52.6281;4645.12;6348.67
P202390037;13200;1831.87;53.856;4679.31;6230.65
P202390001;13410;10583.3;67.7614;7493.86;11770.3
P202390011;13200;1838.93;53.856;4677.02;6240.32
P202390015;13405;5611.28;57.2544;4209.55;10546.1
P202390005;13205;4474.76;54.7732;4023.1;9622.38
P202390031;13405;5556.2;58.9605;4105.61;10609.7
P202390039;13200;1838.93;53.856;4681.3;6235.44
P202390025;13400;7493.53;62.7976;3635.52;13083.4
P202390007;13370;1848.26;52.4365;4674.74;6252.26
P202390027;13420;10556;68.0162;6058.59;13380.8
P202390009;13400;5464.62;60.8985;4111.45;10511.4
P202390033;13370;1953.24;52.6281;4632.22;6405.76
P203390001;13210;6901.79;59.1225;4435.79;11578.5
