Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P184156201;10610;10918.7;62.0409;10341.5;8856.14
P185156201;13200;18648.1;86.9328;9178.78;17912.3
P185156221;13220;8125.77;74.3268;5927.13;11100.6
P184156223;12815;6800.41;76.3844;6390.25;9246.76
P185156207;13210;7186.84;79.5603;6177.24;9876.27
P186156201;13205;14286.7;80.1837;10172.3;12417.2
P189156257;12200;16059.2;77.274;10694.2;13594.2
P191156201;13225;11213.7;74.4024;9509.05;10101.1
P192156213;13200;18310.6;85.896;9842.34;16817.6
P193156201;13200;17161.8;85.2696;9368.55;16209.5
P193156207;13235;6916.21;77.0765;6285.37;9482.25
P194156231;13225;6656.11;73.9005;6108.64;9423.82
P184156221;13420;8846.88;76.6164;5548.97;12253.3
P185156223;13235;5885.23;68.2407;5735.99;9078.18
P185156235;12815;6973.78;76.3844;6941.08;8791.56
P186156221;13235;6932.58;77.0765;5908.55;9928.62
P186156223;13235;6256.43;70.7246;5974.85;9176.82
P186156209;13225;6632.36;73.9005;5670.17;9900.43
P186156225;13210;7861.97;85.9122;6446.01;10244.7
P186156215;12000;16035.4;74.8728;10355.9;13956.5
P186156207;13235;6347.39;70.7246;6219.93;8988.11
P187156201;13205;17016.8;82.2257;9992.14;15352.9
P187156231;13225;6580.75;73.9005;5716.34;9796.13
P187156223;13230;6416.24;70.7246;6649.9;8566.31
P187156225;13210;7753.77;85.9122;6032.36;10608.5
P187156217;13400;18411.2;86.5584;9287.83;17551
P187156207;12815;6611.34;73.2084;6574.7;8847.21
P188156201;13200;18711;87.5952;9169.94;17985.3
P188156221;13230;6311.56;70.7246;6024.63;9175.13
P188156223;13230;6198.98;70.7246;5707.41;9424.56
P188156235;13210;7605.04;82.7363;6191.94;10277.7
P188156207;13235;6120.75;68.2407;5767.82;9277.38
P189156255;13020;7439.65;71.012;7136.62;9034.29
P189156253;13210;8056.65;85.1834;6869.32;9956.32
P191156221;12815;6903.16;76.3844;6281.28;9473.87
P191156223;13235;6020;68.2407;5701.97;9251.78
P191156211;13400;17335;80.9892;9108.6;16679.4
P191156225;12815;6831.12;76.3844;6941.83;8648.05
P191156207;13210;7566.03;82.7363;6203.9;10225
P192156201;13210;14596.6;81.8829;9964.84;12963.9
P192156221;13225;6612.81;73.9005;5982.27;9524.73
P192156223;13235;6244.86;70.7246;5979.05;9160.46
P192156235;13225;6691.77;73.9005;5699.2;9926.71
P192156207;13210;7770.54;85.9122;6387.41;10220.1
P193156221;13420;8880.69;76.6164;5417.32;12437.3
P193156223;13235;6621.47;73.9005;6362.68;9099.29
P193156209;12840;5362.71;61.8888;5804.98;8476.94
P193156225;13205;8132.6;88.3961;6927.95;9965.37
P193156215;13200;18489.8;86.904;10071.5;16735.3
P194156201;13200;18386.2;87.5664;8894.49;17974.8
P194156223;12840;5421.36;61.8888;5865.11;8466.98
P194156225;12815;6842.62;76.3844;6291.22;9401.98
P194156207;12805;7829.88;85.2201;6567.99;10073.4
P165156215;12800;16366.1;79.0596;9517.36;15244
Q166156201_1;13200;17403.5;83.1492;9416.71;16396.2
P165156207;12420;6225.66;69.7404;6417.14;8641.34
P166156231;13210;7882.63;85.9122;6790.52;9872.23
P166156207;12815;6845.71;76.3844;6180.42;9531.52
P167156221;12420;6267.99;70.0325;6006.15;9152.66
P167156207;12815;6890.63;75.6923;6614.57;9081
Q170156221_1;13210;7553.25;82.7363;6989.31;9315.99
P170156207;12025;6268.92;69.3404;6896.07;8138.06
P171156223;13235;5987.6;68.2407;5751.01;9163.42
P171156235;13210;7866.26;85.9122;6133.98;10605
P171156213;13200;18095.2;86.8752;10351.9;16020.7
P172156201;13200;18756.9;86.9328;9379.1;17792.6
P173156201;13200;18536.5;86.2704;9516.29;17415.6
P172156207;13210;7815.48;85.2201;6794.99;9799.97
P173156225;13210;7556.48;82.7363;6381.48;10012.9
