Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P194156207;P194156207_1;A;0;0;0;2000;1200;2935
P194156207;P194156207_2;B;0;1240;0;2000;2440;2935
P194156207;P194156207_3;C;2000;1240;0;4000;2440;2935
P194156207;P194156207_4;D;2000;0;0;4000;1200;2935
P194156207;P194156207_5;E;4000;0;0;6000;1200;2935
P194156207;P194156207_6;F;4000;1240;0;6000;2440;2935
P194156207;P194156207_7;G;6000;1240;0;8000;2440;2935
P194156207;P194156207_8;H;6000;0;0;8000;1200;2935
P194156207;P194156207_9;I;8000;0;0;9605;1205;2000
P194156207;P194156207_10;J;8000;1235;0;9605;2440;2000
P194156207;P194156207_11;K;9605;1235;0;11210;2440;2000
P194156207;P194156207_12;L;9605;0;0;11605;1200;2935
P194156207;P194156207_13;M;11210;1240;0;13210;2440;2935
P194156207;P194156207_14;N;11605;0;0;13210;1205;2000
P194156225;P194156225_1;A;0;1235;0;1605;2440;2000
P194156225;P194156225_2;B;0;0;0;1605;1205;2000
P194156225;P194156225_3;C;1605;0;0;3210;1205;2000
P194156225;P194156225_4;D;1605;1235;0;3210;2440;2000
P194156225;P194156225_5;E;3210;1235;0;4815;2440;2000
P194156225;P194156225_6;F;3210;0;0;4815;1205;2000
P194156225;P194156225_7;G;4815;0;0;6815;1200;2935
P194156225;P194156225_8;H;4815;1240;0;6815;2440;2935
P194156225;P194156225_9;I;6815;1240;0;8815;2440;2935
P194156225;P194156225_10;J;6815;0;0;8815;1200;2935
P194156225;P194156225_11;K;8815;0;0;10815;1200;2935
P194156225;P194156225_12;L;8815;1240;0;10815;2440;2935
P194156225;P194156225_13;M;10815;1235;0;12420;2440;2000
P194156225;P194156225_14;N;10815;0;0;12420;1205;2000
P194156223;P194156223_1;A;0;0;0;1605;1205;2000
P194156223;P194156223_2;B;0;1235;0;1605;2440;2000
P194156223;P194156223_3;C;1605;1235;0;3210;2440;2000
P194156223;P194156223_4;D;1605;0;0;3210;1205;2000
P194156223;P194156223_5;E;3210;0;0;4815;1205;2000
P194156223;P194156223_6;F;3210;1235;0;4815;2440;2000
P194156223;P194156223_7;G;4815;1235;0;6420;2440;2000
P194156223;P194156223_8;H;4815;0;0;6420;1205;2000
P194156223;P194156223_9;I;6420;0;0;8025;1205;2000
P194156223;P194156223_10;J;6420;1235;0;8025;2440;2000
P194156223;P194156223_11;K;8025;1235;0;9630;2440;2000
P194156223;P194156223_12;L;8025;0;0;9630;1205;2000
P194156223;P194156223_13;M;9630;0;0;11235;1205;2000
P194156223;P194156223_14;N;9630;1235;0;11235;2440;2000
P194156223;P194156223_15;O;11235;1240;0;13235;2440;2935
P194156223;P194156223_16;P;11235;0;0;13235;1200;2935
P194156231;P194156231_1;A;0;0;0;2000;1200;2935
P194156231;P194156231_2;B;0;1200;0;2000;2400;2935
P194156231;P194156231_3;C;2000;1235;0;3605;2440;2000
P194156231;P194156231_4;D;2000;0;0;3605;1205;2000
P194156231;P194156231_5;E;3605;0;0;5210;1205;2000
P194156231;P194156231_6;F;3605;1235;0;5210;2440;2000
P194156231;P194156231_7;G;5210;1235;0;6815;2440;2000
P194156231;P194156231_8;H;5210;0;0;6815;1205;2000
