Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P198156225;13210;7770.57;85.9122;6047.81;10607.7
Q199156201_2;12815;6939;76.3844;6732.18;8995.17
Q200156221_1;13210;7505.77;81.7521;6994.1;9263.05
Q201156201_1;13210;7785.28;85.2201;6980.48;9558.1
Q200156201_1;13210;12108;75.6122;9451.56;11061
Q202156201_1;13215;11241.8;77.4623;9526.61;10109.1
P202156221;13420;8516.9;75.7112;5794.91;11642.6
P235156225;11210;6144.74;67.9562;6701.52;8235.89
Q236156201_4;13235;6071.38;68.2407;6237.35;8692.22
Q236156201_5;13235;5989.81;66.1583;5698.5;9225.55
Q236156201_1;13215;12377.9;75.6786;10019.1;10683.3
Q237156201_1;13215;13306.2;79.2251;9870.33;11781.3
Q237156201_2;13200;8430.51;91.572;6808.57;10399.5
Q237156201_3;13210;7889.83;85.9122;6142.14;10619.3
Q240156201_1;12805;10570.6;83.7029;9131.4;9888.93
Q240156201_3;12840;5521.59;61.8888;5970.09;8447.41
Q198156201_1;7210;3317.73;37.2963;6351.84;5807.92
P198156201;13405;13382.8;79.2957;10786.7;10812.2
P198156221;13235;6619.07;73.9005;6172.34;9314.09
P198156223;13235;6055.29;68.2407;6016.89;8927.7
P198156211;13200;15957.6;80.46;9638.24;14697.6
Q199156201_1;13220;12622.7;77.1891;10529.9;10345.1
P199156201;13200;18467.7;86.5872;10167.6;16603.5
P199156221;13225;6632.27;73.9005;5786.59;9767.49
P199156223;13230;6413.76;70.7246;6686.92;8521.57
P199156235;13210;7443.85;82.7363;5985.51;10352.1
P200156201;13200;18629.2;87.2496;9480.77;17548.8
P200156221;13235;6398.67;70.7246;6179.02;9086.07
P200156223;13235;6152.99;68.2407;5745.96;9334.57
P200156209;12815;7252;79.5603;6030.17;10109.3
P201156201;13005;14724.4;80.7965;10933;11986.9
P201156231;13225;6694.52;73.9005;6303.87;9239.45
P201156223;13235;6152.99;68.2407;5695.04;9392.68
P201156225;12815;6950.02;76.3844;6016.41;9822.98
P201156217;12800;16962.6;82.458;9329.25;16055.2
P202156201;13200;18678;87.2784;8502.36;18714.1
P202156223;13235;6194.91;68.2407;5728.87;9396
P202156235;13225;6686.55;73.9005;5738.85;9876.24
P202156207;13210;7860.26;85.9122;6337.49;10366.8
P205156201;13200;15713.4;82.8156;10253.1;13751.7
P205156221;13405;13734;83.8398;5446.38;17257.4
P205156223;13225;6706.1;73.9005;6091.6;9493.25
P205156225;13235;5734.93;65.0648;5934.44;8701.42
P205156207;13205;8132.6;88.3961;6927.12;9966.31
Q206156201_1;12410;7499.54;66.6443;8037.39;8066.29
P206156201;13200;18308.1;85.4244;10198.8;16408.4
P206156221;13410;11357.8;83.1227;5184.42;15180.1
