Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P201382109;13210;8819;75.1286;7307.27;10218.9
P202382111;13220;9443.21;81.5236;7249.32;10909.2
Q198382111_1;12600;6014.43;50.4273;6528.46;8303.07
P198382111;13210;7343.48;61.5403;6519.35;9642.52
P198382407;13200;10159.8;87.1151;7326.44;11537.8
P198382405;13200;10482.2;88.2684;7453.38;11715.4
P198382101;13200;9098.74;76.9779;7385.25;10409.7
P198382411;13210;10468.7;88.2983;7273.41;11907.3
Q198382401_1;13200;10408.5;88.2987;7445.39;11650.7
P198382401;13200;10741.7;88.452;7657.59;11741.8
P198382103;13210;9008.15;77.4671;7119;10622.9
P198382409;13210;10252.7;87.7689;7294.37;11667.4
P198382105;13200;8613.22;70.452;7486.12;9809.03
P198382107;13220;8167.64;70.8513;6700.4;10260.1
P198382109;13210;9396.94;79.0189;7577.62;10488.3
P199382403;13210;10219.7;86.5385;7219.12;11720.2
P199382111;13210;8325.87;71.5873;7127.96;9930.4
P199382407;13200;10406.7;87.2845;7322.11;11789.7
Q199382405_1;13200;10333;87.8649;7210.46;11843.4
P199382405;13200;10537.9;88.7472;7242.37;12011.9
P199382101;13210;9431.18;78.8481;7443.19;10676
P199382401;13200;10154;87.6568;7337.57;11519.3
P199382103;13010;8531.11;70.8189;7296.81;9942.95
Q199382409_1;13200;10402;87.7392;7409.55;11685.2
P199382409;13200;10651.5;88.9308;7504.44;11826.4
P199382105;13200;9005.06;76.8871;7319.56;10390.9
P199382107;13250;8535.16;77.5841;6152.92;11252.4
P200382109;13210;8516.06;70.8297;7411.04;9797.55
P201382403;13200;10485.1;88.2684;7501.1;11663.9
P201382111;13200;8276.01;69.9984;7302.24;9681.65
P201382407;13210;10364.3;87.6928;7327.36;11741.3
P201382405;13210;10168.6;87.2143;7249.87;11634
P201382101;13010;8565.94;70.8189;7425.22;9831.25
P201382401;13200;10655.8;88.9308;7564.1;11762.6
P201382103;13200;8142.79;69.6572;7100.25;9778.93
P201382409;13200;10542.7;88.2684;7496.2;11727
P201382105;13200;8636.54;72.1863;7301.46;10043.1
P201382107;12600;7734.26;65.322;7066.61;9408.79
P202382403;13010;10426.1;87.8199;7438.52;11676.2
P202382407;13200;10726.3;88.9308;7437.39;11977.7
P202382405;13210;10287.3;87.8649;7485.99;11483.3
P202382101;13000;8848.25;72.756;7672.13;9831.8
P202382401;13200;10758;88.9308;7579.75;11847
P202382103;13230;8626.86;76.0767;6982.63;10397.2
P202382409;13200;10688.6;88.452;7652.96;11694
P202382105;13210;8511.36;73.0484;7402.18;9802.96
P202382107;13406;8700.58;74.3762;7316.77;10089.7
P202382109;13010;8680.35;72.5438;7491.47;9870.06
P203382403;13210;10203;86.9944;7200.97;11724.2
P203382111;13210;9097.94;75.8207;7268.22;10542.4
P203382407;13210;9989.15;86.3792;7081.29;11646.9
P203382405;13200;10591.4;88.614;7531.79;11735.1
P203382101;13210;8725.24;73.7449;7353.17;10072.8
Q203382401_1;13210;10210.7;87.4789;7012.8;11946.7
P203382401;13210;9858.62;85.7249;6740.13;11905.7
P203382103;13200;10349.7;82.296;7533.49;11491.5
Q203382409_2;13010;10560.5;87.8101;7618.88;11604.8
Q203382409_1;13200;10405.1;88.452;7418.82;11677.7
P203382409;13400;10451.2;90.0504;6886.4;12331.4
P203382105;13210;10158.7;86.1451;7369.3;11487.9
P191382111;7010;3390.32;28.6761;6254.06;5992.08
P191382407;12610;8950.86;76.2588;7651.16;9958.34
Q191382405_1;13210;10228.9;86.9316;7210.4;11739.3
P191382405;13210;10391.9;88.3342;7492.32;11580.7
P191382101;12800;9183.88;79.3854;7411.9;10464.4
P191382411;13200;10754.1;88.3188;7544.21;11883.6
Q191382401_2;13210;10000.7;88.0355;7143.62;11587.4
Q191382401_1;13200;10742.5;88.146;7589.02;11820.9
P191382401;13400;10075;88.829;6971.81;11857.7
P191382409;13200;10194.6;87.8736;7218.15;11696.2
P191382107;13240;7721.68;70.731;6534.09;10003.9
P191382109;13220;8948.58;77.4674;7187.48;10485.2
Q192382403_2;13000;9900.8;84.4417;7340.32;11263
Q192382403_1;13200;10637.5;88.2648;7369.35;11966.6
P192382403;13210;10212.6;87.9797;7169.69;11769.5
P192382407;13220;10182.5;86.8886;7257.43;11639.3
P192382405;13200;10178.7;87.8486;7464.07;11399.6
P192382101;13200;10124.7;83.7788;7518.57;11283.5
P192382401;13210;10212.4;88.7185;7249.62;11678.1
Q192382409_2;13210;10342.7;88.6885;7210.62;11852.9
Q192382409_1;13410;10062.8;87.8754;7102.61;11696.3
P192382409;13200;10626;88.452;7499.77;11806.2
P192382105;13000;9617.02;80.0348;7376.55;10937.9
P192382109;13400;9283.32;81.1189;7207.61;10796.9
P193382403;13200;10425.4;87.1643;7510.71;11593.2
P193382111;13210;8552.1;74.1161;7298.1;9962.48
P193382407;13220;10273.8;88.0986;7245.35;11744.3
Q193382405_2;13200;10600.4;88.9308;7389.35;11906.7
Q193382405_1;13200;10525.4;88.11;7447.29;11765.5
P193382405;13210;10364.9;88.8383;7355.26;11710
P193382101;13220;9924.66;84.1594;7404.15;11214
P193382401;13210;10350.9;88.4363;7275.62;11786.9
P193382409;13210;10151.6;88.7298;7465.51;11370.9
P193382105;13200;9151.29;76.2408;7654.32;10155.2
P193382107;13060;7427.98;70.3838;6283.29;9996.39
P193382109;13220;8462.7;74.7987;7039.9;10167.7
P188382107;13410;8924.64;76.1586;7345.68;10280.7
Q189382403_3;13200;10489.8;88.1363;7403.54;11779.8
Q187382403_2;10600;6742.09;56.0448;7253.83;8202.98
Q187382403_1;13210;8462.98;72.9047;6597.06;10673.3
P187382403;13010;9130.39;76.655;7052.62;10820.9
P187382111;13410;9612.33;82.0878;7237.08;11092.3
Q187382407_1;13200;10179.3;88.5166;7168.9;11737.1
P187382407;13200;10387.2;88.1052;7446.29;11628.4
P187382405;13400;10497.2;89.0928;7089.23;12145.9
P187382101;13210;9165.86;78.4494;7362.64;10502.6
P187382401;13200;10632;88.452;7578.14;11722.9
P187382103;13210;9004.61;79.5323;7368.78;10334.3
P187382409;13200;10692.4;88.452;7545.8;11820.2
P187382105;13220;9103.39;79.2989;7306.19;10504.5
P187382107;13200;8086.76;69.1782;7112.11;9709.38
P187382109;13210;9478.49;80.4606;7367.81;10809.3
P188382403;13010;10601.9;88.4058;7507.38;11773.5
P188382111;13210;9710.86;81.5762;7518.85;10869.3
P188382407;13210;10227.1;88.9248;7308.32;11625.8
P188382405;13210;10129.2;88.3059;7364.18;11464.2
P188382101;13210;9058.62;77.1202;7169.7;10615.5
P188382401;13000;10578.5;86.832;7653.65;11583.1
P188382103;13210;8906.59;79.1867;7160.35;10474.2
P188382409;13010;10520;88.1439;7441.64;11766.5
P188382105;13210;8376.25;73.9798;7343.72;9734.56
P188382109;13400;9304.9;85.122;6659.19;11444.4
Q189382403_2;13200;10318.5;87.9651;7485.59;11515
Q189382403_1;13210;10165;88.1427;7280.01;11596
P189382403;13210;10391;88.8383;7634.84;11417.1
P189382111;13000;9258.13;77.4968;7521.25;10413.9
P189382407;13400;10245.6;88.9092;7096.15;11886.4
P189382405;13200;10651.6;88.452;7534.18;11792.6
P189382101;13010;10237.5;81.6689;7348.05;11590.8
P189382401;13010;10672.2;88.6666;7313.74;12064.7
P189382103;13020;9836.45;83.0631;6982.57;11606.9
P189382409;13400;10334.4;89.064;7193.29;11864.4
P189382105;13410;9712.52;87.1896;6659.33;11851.8
P195382107;13210;8575.49;74.535;7320.6;9960.19
P196382403;13210;9958.67;84.4021;7112.97;11580.3
Q194382403_1;12210;7034.24;59.0011;6589.22;9253.54
P194382403;13210;8394.33;71.8247;6732.15;10450.5
P194382111;13200;8835.03;75.1992;7431.46;10093.2
P194382407;13200;10416.4;88.5138;7469.3;11631.4
P194382405;13210;10320.6;89.1586;7290.58;11739.6
P194382101;13210;9480.08;81.8214;7324.06;10860.8
P194382401;13010;10470.4;88.1487;7541.38;11603.2
P194382103;13220;8891.95;78.0038;7195.35;10419.6
Q194382409_1;13010;10589.6;88.4058;7465.3;11809.2
P194382409;13210;10169.8;88.7298;7515.48;11332.1
P194382105;13200;8935.77;73.8828;7589.21;10013.9
P194382107;13200;8000.46;68.2632;6976.2;9778.16
P194382109;13220;9287.22;79.8383;7477.5;10492.9
Q195382403_1;13400;9901.22;88.5924;7118.08;11517
P195382403;13200;10339.3;88.1004;7466.64;11557.4
P195382111;13220;9124.32;77.4479;7582.98;10209.6
P195382407;13200;10627.9;88.9308;7377.4;11947.8
P195382405;13210;10132.3;87.2353;7180.75;11676.6
P195382101;13200;9433.72;78.3691;7470.21;10647.7
P195382401;13200;10535.9;88.452;7485.03;11733
P195382103;13210;8735.29;74.0327;7378.31;10054.1
P195382409;13220;10244.3;87.8254;7468.22;11460.5
P195382105;13210;8679.5;73.3398;7364.38;10014.2
P195382109;13200;9026.59;76.086;7370.34;10354.5
P196382111;13210;9305.96;79.2803;7139.12;10897.7
Q196382407_2;13210;10202.5;87.5399;7235.7;11684
Q196382407_1;13200;10376.1;88.0891;7277.38;11810.1
P196382407;13210;10389.4;88.0814;7198.35;11913.6
P196382405;13200;10739.3;88.452;7527.89;11887.5
P196382101;13030;9143.46;77.6891;7263.78;10593
P196382401;13200;10509.1;87.912;7562.03;11618.3
P196382103;13200;10237.3;82.296;7524.11;11389.7
P196382409;13200;10703.5;88.6608;7484.89;11900.8
P196382105;13410;9508.83;85.4543;6660.65;11646.6
Q205382111_1;12600;6509.14;54.306;6563.36;8757.95
P205382111;13010;7265.57;60.9361;6429.54;9667.1
P205382407;13210;10075.5;87.2277;7091.37;11721.8
P205382405;13200;10506;87.5772;7528.04;11654
P205382101;13200;8998.1;75.6703;7431.51;10256.2
P205382411;13200;10052;87.34;7094.52;11694.7
P205382401;13200;10712.4;88.9308;7506.7;11884.7
P205382103;13210;8645.24;74.5642;7467;9862.87
P205382409;13200;10558.5;88.2396;7452.69;11792.5
P205382105;13200;8633.56;74.8165;7397.61;9930.38
P205382107;13030;8127.68;68.3667;6993.4;9885.76
P205382109;13210;9067.62;76.6982;7373.06;10392.5
Q206382403_1;13210;10102.2;87.7394;7100.33;11738.3
P206382403;13200;10556.4;87.9228;7530.83;11701.2
P206382111;13210;9191.98;78.0448;7410.41;10474.2
P206382407;13200;10259.2;87.8552;7273.68;11697.4
P206382405;13200;10652.5;89.4096;7543.75;11782.5
P206382101;13210;9133.98;77.7865;7207.98;10647.2
P206382401;13010;10387.2;87.815;7565.18;11492.8
P206382103;13010;8551.13;70.5849;7522.99;9704.86
P206382409;13400;10423.9;89.0928;7383.34;11737
P206382105;13200;8756.44;73.2708;7466.7;9974.42
P206382107;13030;7724.02;66.9586;6935.45;9548.22
P206382109;13400;9085.9;78.9399;7386.91;10394.9
Q207382403_1;13200;10423.8;88.3044;7155.59;11996.8
P207382403;13210;10242.7;85.4968;7314.7;11634.2
P207382111;13210;8880.51;75.0797;7414.21;10158.4
P207382407;13200;10355.3;87.977;7170.1;11911.7
P207382405;13200;10522.9;88.2684;7537.95;11659.5
P207382101;13210;9081.25;77.7731;7489.96;10272.7
P207382401;13200;10585.4;89.2476;7412.76;11864.9
P207382103;13020;8449.94;70.564;7221.6;9947.61
P207382409;13210;10182.7;87.5599;7490.53;11373.5
P207382105;13200;8820.83;72.144;7572.76;9917.78
P207382107;13230;8833;78.3629;6340.57;11336.1
Q170382111_2;10600;4989.3;42.0213;6716.69;7063.15
Q170382111_1;13200;7223.35;61.7347;6433.39;9620.48
P170382111;13200;7498.4;63.168;6389.76;9945.31
P170382407;13400;10041.8;87.855;6901.26;11905.1
P170382405;13010;10710.4;88.5227;7597.92;11778.6
P170382101;13200;9182.42;78.4968;7574.07;10277.9
P170382411;13210;10220;88.4509;7293.74;11635.4
P170382401;13200;10812.7;88.452;7560.08;11924.1
P170382103;13220;8577.39;74.7327;7150.58;10156.1
P170382409;13200;10603.8;88.2396;7556.9;11718.8
P170382105;13200;9033.29;75.1608;7534.97;10173.4
P170382107;13030;7468.43;65.4305;6454.32;9841.67
P170382109;13220;9104.14;79.7472;7228.24;10594.2
P171382403;13200;10605.3;88.596;7527.07;11754.4
P171382111;13200;8754.47;74.0342;7291.39;10172.5
P171382407;13200;10480.3;88.722;7470.4;11694
P171382405;13200;10432.3;88.8846;7320.53;11817
P171382101;13200;9214.43;77.9226;7558.53;10327.6
P171382401;13010;10276.1;86.0994;7505.72;11449.5
P171382103;13210;8614.79;74.8015;7343.56;9973.29
Q171382409_1;13010;10654.5;88.4058;7502.49;11831.6
P171382409;13400;10430.1;89.0928;7484.56;11627.7
P171382105;13210;9178.35;78.0054;7468.09;10394.7
P171382107;13030;7747.44;69.185;6677.28;9866.26
P171382109;12810;9304.86;81.699;7274.1;10742.6
P172382403;13010;10543;87.8101;7432.38;11800.2
P172382111;13210;8893.88;76.8271;7146.29;10477.5
P172382407;13210;10294.8;88.5678;7387.42;11603.3
P172382405;13200;10412.3;88.6275;7401.21;11705
