Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P202382109;13200;9326.31;77.6988;7481.9;10526.9
P203382111;13220;8982.13;78.8781;7000.22;10732.4
Q198382111_2;8200;4217.66;36.0165;6714.93;6293.52
Q198382111_1;13000;7453.49;61.722;6738.07;9502.94
P198382111;13210;7196.94;62.0901;6392.39;9640.86
P198382407;13210;10386.9;88.0071;7197.46;11912.1
P198382405;13200;10544.7;87.9228;7480.98;11746.4
P198382101;13200;8986.45;75.8816;7447.73;10226.1
P198382411;13220;10150.1;87.8188;7066.59;11824.7
P198382401;13200;10538;88.452;7437.26;11789.6
P198382103;13200;9076.8;73.6501;7384.84;10388.2
P198382409;13200;10371.9;87.8649;7479.1;11575.7
P198382105;13400;9006.62;75.744;7339.74;10369.5
P198382107;13030;7542.23;66.4931;6527.97;9831.43
P198382109;13220;8943.94;77.0097;7284.96;10369.3
Q199382403_2;13200;10589.3;88.1964;7375.71;11911.1
Q199382403_1;13200;10643.1;88.614;7511.32;11810.2
P199382403;13200;10392.9;88.1769;7276.6;11827.8
P199382111;13210;9695.74;83.1433;7280.93;11125.7
P199382407;13200;10342;87.7483;7222.91;11838.1
P199382405;13010;10601.4;87.7029;7425.04;11866.9
P199382101;13200;9389.48;78.9812;7271.36;10830.4
P199382401;13210;10267.1;88.1102;7308.53;11665.6
P199382103;13200;8674.01;70.452;7552.64;9793.92
P199382409;13210;10266.4;88.4558;7194.02;11795.5
P199382105;13010;8930.33;74.4091;7616.01;9977.92
P199382107;13250;8191.54;75.12;6502.96;10509.3
P199382109;13200;7986.83;68.4839;7046.64;9684.16
Q200382109_1;13010;7112.53;59.2941;6699.04;9206.52
Q201382403_1;13210;10106.2;86.4779;7229.3;11595.1
P200382109;13400;8112.45;69.8472;7026.18;9833.12
P201382403;13210;10271.1;87.0611;7164.73;11833.7
P201382111;13400;8952.31;75.2436;7327.98;10328.6
P201382407;13200;10382.5;87.7435;7360.81;11721.3
P201382405;13200;10610.7;88.9308;7522.42;11765.1
P201382101;13210;8645.5;73.9571;7310.29;10042
P201382401;13200;10520.4;87.9228;7461.22;11744.6
P201382103;13410;8431.01;73.6763;6893;10303.7
P201382409;13210;10507.9;87.6265;7425.42;11773
P201382105;13200;8319.43;69.6708;7244.36;9791.13
P201382107;13200;7727.38;64.098;6937.66;9549.06
P201382109;13410;9341.75;79.6769;7407.55;10627.2
P202382403;13200;10411.4;88.0891;7560.99;11521.8
P202382111;13200;8796.27;75.6491;7240.8;10272
P202382407;13200;10710.4;88.9308;7439.04;11959.9
P202382405;13200;10544.1;88.614;7535.72;11683.3
P202382101;13020;9120.74;78.9153;7328.15;10496.8
P202382401;13000;10460.7;87.1488;7562.13;11569.8
P202382103;13200;8966.54;75.78;7337.82;10331.6
P202382409;13210;10416.9;87.9482;7396.28;11715.3
P202382105;13200;8519.63;72.1874;7365.71;9852.85
P202382107;13220;8258.85;70.9646;7189;9793.72
P203382403;13200;10696.7;88.452;7587.91;11776.4
P203382407;13010;10492.6;87.815;7542.63;11624
P203382405;13200;10415.2;89.0928;7259.83;11869.2
P203382101;13020;8956.16;75.8622;7225.73;10449.1
P203382401;13200;10592.1;88.452;7482.25;11792.3
P203382103;13200;10585.6;82.512;7463.15;11807.6
Q203382409_1;13010;10476;87.9991;7256.77;11933.6
P203382409;13400;10551.3;89.7264;7355.95;11895.6
P203382105;13420;9860.62;87.178;6583.26;12086.7
P205382109;13200;9093.68;76.2621;7612.95;10144.8
P206382403;13200;10523.6;88.4059;7433.84;11779.1
Q205382111_1;8200;3663.55;31.8725;6340.19;6167.03
Q205382407_1;13000;10378.4;85.734;7622.85;11418.2
P205382111;13210;7281.17;63.2541;6558.9;9535.07
P205382407;13210;10245.1;86.6439;7188.07;11781
P205382405;13200;10321.7;87.9819;7489.6;11513.5
P205382101;13000;8872.74;73.5631;7534.37;10013.5
P205382411;13210;10288.1;87.9981;7318.59;11675.1
P205382401;13200;10625;88.452;7558.61;11738.1
P205382103;13210;8879.17;75.8347;7435.93;10132.3
P205382409;13210;10361.8;87.1689;7623.18;11401.2
P205382105;13010;8521.49;71.0301;7364.1;9856.54
P205382107;13230;7963.66;71.9493;6472.86;10315.8
P206382111;13400;8925.75;76.1508;7222.43;10422.5
P206382407;13020;10357.8;87.214;7237.75;11837.1
P206382405;13200;10465.6;87.9228;7410.63;11747.6
P206382101;13210;8787.91;76.5238;7092.99;10432.3
P206382401;13200;10573.2;88.614;7527.5;11721.8
P206382103;13200;8611.92;72.3456;7432.04;9869.45
P206382409;13200;10651.6;88.452;7521.86;11806.7
P206382105;13210;8972.83;76.1109;7418.19;10246.2
P206382107;13210;7763.71;65.3988;6772.15;9774.26
P206382109;13210;9122.15;78.8771;7410.6;10404.1
Q207382403_1;13210;10312;87.6314;7407.9;11597.1
P207382403;13200;10500.9;87.9228;7449.9;11738
P207382111;13410;9414.15;80.1293;7343.28;10773
P207382407;13010;10476;87.9271;7459.64;11702.1
P207382405;13200;10704;88.9308;7556.58;11819.4
P207382101;13210;8889.01;75.8121;7393.6;10190.4
P207382401;13020;10396;87.1829;7339.98;11758.6
P207382103;13220;8714.72;75.821;7217.58;10217
P207382409;13200;10583.3;88.9308;7462.29;11806.3
P207382105;13010;8680.73;71.993;7469.63;9895.36
P207382107;13230;7897.35;70.7341;6624.15;10076.8
P207382109;13200;8963.66;76.4043;7482.87;10163.2
P208382403;13200;10532.6;87.9228;7524.36;11684.8
P208382111;13210;8960.38;77.4902;7314.27;10352.3
P208382407;13010;10417.2;87.6981;7430.93;11676
P208382405;13200;10414.2;88.0848;7458.32;11641.7
P208382101;13210;8744.63;74.4837;7352.59;10092.8
P208382401;13010;10490.7;87.9271;7570.07;11590.7
P208382103;13010;8598.34;72.9367;7339.84;9961.08
P208382409;13200;10439.9;87.1823;7407.94;11725
P208382105;13200;8574.73;72.7917;7378.06;9893.86
P208382107;13200;8909.61;76.6027;7464.31;10130.3
P209382403;13200;10251.5;86.3097;7189.83;11785.5
P209382111;13200;8596.06;71.9539;7193.23;10126.1
P209382407;13200;10446.4;88.2684;7365.13;11780.3
P209382405;13200;10195.6;86.8775;7240.95;11671.2
P209382101;13200;10194.6;83.916;7384.11;11506.8
P209382401;13210;10428.3;87.6499;7380.74;11744.4
