Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090038300_14062023005761;P203382405;P203382405_1;A1;0;0;0 ;1000 ;1200 ;975
0090038300_14062023005761;P203382405;P203382405_1;A2;0;0;975 ;1000 ;1200 ;1905
0090038300_14062023005761;P203382405;P203382405_1;A3;0;0;1905 ;1000 ;1200 ;2835
0090038300_14062023005761;P203382405;P203382405_2;B1;0;1200;0 ;1000 ;2400 ;975
0090038300_14062023005761;P203382405;P203382405_2;B2;0;1200;975 ;1000 ;2400 ;1905
0090038300_14062023005761;P203382405;P203382405_2;B3;0;1200;1905 ;1000 ;2400 ;2835
0090038300_14062023005596;P203382405;P203382405_3;C1;1000;1240;0 ;2000 ;2440 ;975
0090038300_14062023005596;P203382405;P203382405_3;C2;1000;1240;975 ;2000 ;2440 ;1905
0090038300_14062023005596;P203382405;P203382405_3;C3;1000;1240;1905 ;2000 ;2440 ;2835
0090038300_14062023005596;P203382405;P203382405_4;D1;1000;0;0 ;2000 ;1200 ;975
0090038300_14062023005596;P203382405;P203382405_4;D2;1000;0;975 ;2000 ;1200 ;1905
0090038300_14062023005596;P203382405;P203382405_4;D3;1000;0;1905 ;2000 ;1200 ;2835
0090038300_14062023005596;P203382405;P203382405_5;E1;2000;0;0 ;3000 ;1200 ;975
0090038300_14062023005596;P203382405;P203382405_5;E2;2000;0;975 ;3000 ;1200 ;1905
0090038300_14062023006428;P203382405;P203382405_5;E3;2000;0;1905 ;3000 ;1200 ;2835
0090038300_14062023006428;P203382405;P203382405_6;F1;2000;1240;0 ;3000 ;2440 ;975
0090038300_14062023006428;P203382405;P203382405_6;F2;2000;1240;975 ;3000 ;2440 ;1905
0090038300_14062023006428;P203382405;P203382405_6;F3;2000;1240;1905 ;3000 ;2440 ;2835
0090038300_14062023006428;P203382405;P203382405_7;G1;3000;1240;0 ;4000 ;2440 ;975
0090038300_14062023006428;P203382405;P203382405_7;G2;3000;1240;975 ;4000 ;2440 ;1905
0090038300_14062023006428;P203382405;P203382405_7;G3;3000;1240;1905 ;4000 ;2440 ;2835
0090038300_14062023006428;P203382405;P203382405_8;H1;3000;0;0 ;4000 ;1200 ;975
0090038300_14062023006428;P203382405;P203382405_8;H2;3000;0;975 ;4000 ;1200 ;1905
0090038300_14062023006428;P203382405;P203382405_8;H3;3000;0;1905 ;4000 ;1200 ;2835
0090038300_14062023008188;P203382405;P203382405_9;I1;4000;0;0 ;5000 ;1200 ;750
0090038300_14062023008949;P203382405;P203382405_9;I2;4000;0;750 ;5000 ;1200 ;1680
0090038300_14062023008188;P203382405;P203382405_9;I3;4000;0;1680 ;5000 ;1200 ;2385
0090038300_14062023008188;P203382405;P203382405_10;J1;4000;1240;0 ;5000 ;2440 ;750
0090038300_14062023008188;P203382405;P203382405_10;J2;4000;1240;750 ;5000 ;2440 ;1455
0090038300_14062023008188;P203382405;P203382405_10;J3;4000;1240;1455 ;5000 ;2440 ;2160
0090038300_14062023008188;P203382405;P203382405_10;J4;4000;1240;2160 ;5000 ;2440 ;2865
0090038300_14062023008188;P203382405;P203382405_11;K1;5000;1240;0 ;6000 ;2440 ;750
0090038300_14062023008188;P203382405;P203382405_11;K2;5000;1240;750 ;6000 ;2440 ;1455
0090038300_14062023008188;P203382405;P203382405_11;K3;5000;1240;1455 ;6000 ;2440 ;2160
0090038300_14062023008188;P203382405;P203382405_11;K4;5000;1240;2160 ;6000 ;2440 ;2865
0090038300_14062023008188;P203382405;P203382405_12;L1;5000;0;0 ;6000 ;1200 ;750
0090038300_14062023008188;P203382405;P203382405_12;L2;5000;0;750 ;6000 ;1200 ;1455
0090038300_14062023008188;P203382405;P203382405_12;L3;5000;0;1455 ;6000 ;1200 ;2160
0090038300_14062023008188;P203382405;P203382405_12;L4;5000;0;2160 ;6000 ;1200 ;2865
0090038300_14062023008188;P203382405;P203382405_13;M1;6000;0;0 ;7000 ;1200 ;750
