Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P203382405;P203382405_1;A;0;1240;0;1000;2440;2835
P203382405;P203382405_2;B;0;0;0;1000;1200;2835
P203382405;P203382405_3;C;1000;0;0;2000;1200;2835
P203382405;P203382405_4;D;1000;1240;0;2000;2440;2835
P203382405;P203382405_5;E;2000;1240;0;3000;2440;2835
P203382405;P203382405_6;F;2000;0;0;3000;1200;2835
P203382405;P203382405_7;G;3000;0;0;4600;1200;2865
P203382405;P203382405_8;H;3000;1240;0;4600;2440;2865
P203382405;P203382405_9;I;4600;1240;0;6200;2440;2865
P203382405;P203382405_10;J;4600;0;0;5600;1200;2835
P203382405;P203382405_11;K;5600;0;0;6600;1200;2835
P203382405;P203382405_12;L;6200;1240;0;7200;2440;2835
P203382405;P203382405_13;M;6600;0;0;8200;1200;2700
P203382405;P203382405_14;N;7200;1240;0;8200;2440;2835
P203382405;P203382405_15;O;8200;0;0;9200;1200;2835
P203382405;P203382405_16;P;8200;1240;0;9200;2440;2835
P203382405;P203382405_17;Q;9200;1240;0;10200;2440;2835
P203382405;P203382405_18;R;9200;0;0;10200;1200;2835
P203382405;P203382405_19;S;10200;0;0;11200;1200;2835
P203382405;P203382405_20;T;10200;1240;0;11200;2440;2835
P203382405;P203382405_21;U;11200;1240;0;12200;2440;2835
P203382405;P203382405_22;V;11200;0;0;12200;1200;2835
P203382405;P203382405_23;W;12200;0;0;13400;1000;2835
P203382405;P203382405_24;X;12200;1440;0;13400;2440;2835
P203382403;P203382403_1;A;0;1234;0;1010;2440;2178
P203382403;P203382403_2;B;0;0;0;1000;1200;2835
P203382403;P203382403_3;C;1000;0;0;2000;1200;2835
P203382403;P203382403_4;D;1010;1240;0;2010;2440;2835
P203382403;P203382403_5;E;2000;0;0;3000;1200;2835
P203382403;P203382403_6;F;2010;1240;0;3010;2440;2835
P203382403;P203382403_7;G;3000;0;0;4000;1200;2835
P203382403;P203382403_8;H;3010;1240;0;4010;2440;2835
P203382403;P203382403_9;I;4000;0;0;5000;1200;2835
P203382403;P203382403_10;J;4010;1240;0;5010;2440;2835
P203382403;P203382403_11;K;5000;0;0;6000;1200;2835
P203382403;P203382403_12;L;5010;1240;0;6010;2440;2835
P203382403;P203382403_13;M;6000;0;0;7000;1200;2835
P203382403;P203382403_14;N;6010;1240;0;7010;2440;2835
P203382403;P203382403_15;O;7000;0;0;8000;1200;2835
P203382403;P203382403_16;P;7010;1240;0;8610;2440;2700
P203382403;P203382403_17;Q;8000;0;0;9600;1200;2700
P203382403;P203382403_18;R;8610;1240;0;10210;2440;2700
P203382403;P203382403_19;S;9600;0;0;11200;1200;2700
P203382403;P203382403_20;T;10210;1240;0;11210;2440;2835
P203382403;P203382403_21;U;11200;0;0;12200;1200;2835
P203382403;P203382403_22;V;11210;1240;0;12210;2440;2835
P203382403;P203382403_23;W;12200;0;0;13200;1200;2835
P203382403;P203382403_24;X;12210;1240;0;13210;2440;2835
Q203382403_1;Q203382403_1_1;A;0;0;0;1000;1200;2835
Q203382403_1;Q203382403_1_2;B;0;1240;0;1000;2440;2835
Q203382403_1;Q203382403_1_3;C;1000;1240;0;2000;2440;2835
Q203382403_1;Q203382403_1_4;D;1000;0;0;2000;1200;2835
Q203382403_1;Q203382403_1_5;E;2000;0;0;3000;1200;2835
Q203382403_1;Q203382403_1_6;F;2000;1240;0;3000;2440;2835
Q203382403_1;Q203382403_1_7;G;3000;1240;0;4000;2440;2835
Q203382403_1;Q203382403_1_8;H;3000;0;0;4000;1200;2835
Q203382403_1;Q203382403_1_9;I;4000;0;0;5000;1200;2835
Q203382403_1;Q203382403_1_10;J;4000;1240;0;5000;2440;2835
Q203382403_1;Q203382403_1_11;K;5000;1240;0;6000;2440;2835
Q203382403_1;Q203382403_1_12;L;5000;0;0;6000;1200;2835
Q203382403_1;Q203382403_1_13;M;6000;0;0;7000;1200;2835
Q203382403_1;Q203382403_1_14;N;6000;1240;0;7000;2440;2835
Q203382403_1;Q203382403_1_15;O;7000;1240;0;8000;2440;2835
Q203382403_1;Q203382403_1_16;P;7000;0;0;8000;1200;2835
Q203382403_1;Q203382403_1_17;Q;8000;0;0;9000;1200;2835
Q203382403_1;Q203382403_1_18;R;8000;1240;0;9000;2440;2835
Q203382403_1;Q203382403_1_19;S;9000;1240;0;10000;2440;2835
