Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P209423107;13410;13462.2;74.847;11905.7;9614.63
P210423101;13400;12761;82.247;9682.67;11450.3
P210423109;12840;21476.6;61.6368;10977.2;18688.6
P212423109;13420;17132.2;67.2239;8901.02;16713.4
P216423109;12980;15744.5;64.4376;10911.5;13031.5
P217423101;13410;12283.5;75.8776;10392.5;10162.7
Q198423101_1;7000;4311.99;39.1116;7443.18;5556.8
P198423101;13380;10569.2;77.3066;8940.14;10105.7
P198423103;13350;15365.4;76.1852;11408.1;12085.7
P198423105;13390;16898.7;78.9982;11950;13000.6
P198423109;13390;16859.3;72.5258;11352.4;13643.1
P198423107;13180;15378.1;70.0756;11499.1;11994.6
P199423101;13370;11432.7;73.3279;9541.37;10283.2
P199423103;13410;13913.5;80.2814;10338.4;11854.5
P199423105;13390;14990.2;65.8571;11550.5;11548
P199423109;13410;18302.1;69.6671;10469.8;16093.1
P199423107;13390;15846;69.3047;11666.7;12271.2
P200423101;13410;10842.5;77.2066;9459.67;9786.17
P200423103;13170;15964.4;74.1529;11328.6;12775.3
P200423105;13380;16336.1;69.1598;11230.3;13259.3
P200423109;13450;16083.9;68.6614;10608.5;13716.6
P200423107;13360;14907.1;69.4475;11353.3;11689.9
P201423101;13200;12675.1;77.8723;10834.7;10049.7
P201423103;13400;17757.9;78.5061;11621;14235.2
P201423105;13386;13713.5;66.1511;11166.9;10709
P201423109;13400;15244.5;75.387;10706.8;12765.1
P201423107;13380;16775.1;65.8619;11182;13753.4
P202423101;13400;12697.4;72.5789;9945.65;11086.5
P202423103;13190;16226.5;76.6499;11649.8;12670.9
P202423105;13370;14811.8;77.3905;11845.5;11033
P202423109;13430;16750.3;69.2283;11063.1;13864.3
P202423107;13380;16003;65.4323;11720;12367.3
P203423101;13380;11370.8;79.3946;9376.45;10409.5
P203423103;13380;18955.5;62.8466;11123.9;16000.1
P203423109;13410;15793.9;69.7357;10994.4;12986.3
P203423107;13410;14388.1;75.4219;11393.4;11125.1
P205423101;13400;13593.7;77.4171;10409.6;11453.4
P205423103;13370;15941.8;71.6532;11882.4;12120.9
P205423105;13180;13980.9;76.0657;11663.7;10409.5
P205423109;13380;16281.4;70.1789;10483.5;14056.8
P205423107;13380;14855.8;74.9797;10899.1;12156.9
P206423101;13380;13111.8;75.9993;10950;10354.8
P206423103;13410;17036;73.4688;11543.8;13601.4
P206423105;13170;14141.5;73.2329;11773.3;10445
P206423109;13440;17133.2;65.9442;10615.6;14757.8
P206423107;13350;13419.3;69.3303;11986.1;9480.1
P207423101;13400;13224.3;78.109;10468.5;11016.8
P207423103;13180;15579.9;75.6829;11927.8;11707.1
P207423105;13370;15609;74.0958;11527.6;12192.9
P207423109;13430;17673.5;73.159;11332.1;14480.5
P207423107;13400;14792.5;71.5684;11720.8;11155.9
P208423101;13380;11451.6;79.2809;9181.83;10712.4
P208423103;13190;16963.5;66.5931;10928.4;14231.2
P208423105;13340;16106.7;73.5792;11913.6;12250.1
P208423109;13210;15233.5;67.7104;9797.49;13791.7
P208423107;13380;14046.8;64.4874;11875.6;10233.6
P209423101;13370;12552.3;72.2013;10026.1;10849.6
P209423103;13350;15317.2;70.3096;11760.1;11635.8
P209423105;13180;14775.7;77.8225;11960.3;10865.8
P209423109;13400;18721.3;70.2583;10290.2;16717.3
P210423103;13380;14418;73.3169;10939.2;11673.4
P210423105;13180;14759;74.1021;11575.9;11287.9
