Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P205423105;13380;15185.7;76.8409;11914.6;11328
P206423101;13380;13257.7;75.6129;10962.7;10486.2
P216423107;13180;14148.3;72.9996;11786.3;10437
P217423103;13410;14615.1;74.7497;11009.3;11790.5
Q198423101_1;5400;2190.77;23.5044;5932.6;5159.37
P198423101;13390;12479.7;76.2384;10386.5;10365.7
P198423103;13390;15649.6;73.8992;11435.8;12338.2
P198423105;13410;13130.1;75.3026;11698.9;9518.57
P198423109;13410;17607.6;72.581;10574.3;15279.4
P198423107;13380;15181.8;67.0022;11217.1;12120
Q199423101_1;13400;6863.86;77.9148;6182.06;9547.79
P199423101;13400;12383.2;73.4303;9353.39;11448.2
P199423103;13370;13361.2;78.789;10399.3;11232.7
P199423105;13380;17044.5;66.8523;11238.6;13958.2
P199423109;13390;15704.4;68.3399;10838;13075.2
P199423107;13146;16912.9;67.3423;11299.5;13757.1
P200423101;13400;11827.6;78.0218;9932.02;10232.3
P200423103;13376;16122.6;72.1317;11518.7;12716.7
P200423105;13370;14728.3;72.7158;11750.3;11058
P200423109;13450;16612.3;68.3662;10760.4;14071.7
P200423107;13180;13443.3;71.2535;11448.5;10117.5
P201423101;13346;17038.6;80.7787;11352;13822.9
P201423103;13420;15631.7;78.5801;11935.1;11750.5
P201423105;13180;14691.6;67.2783;11621.8;11168
P201423109;13200;13612.2;74.7894;10362.5;11525.7
P201423107;13370;16865.3;66.7585;11253.2;13762.4
P202423101;13410;14332.3;75.1717;11135;11364.2
P202423103;13170;15008.4;74.5247;11827.9;11249.6
P202423105;13380;13927.9;76.7941;11968.3;10008.9
P202423109;13440;17427;70.6351;10523.4;15156.9
P202423107;13390;16270.4;61.3531;11208;13219
P203423101;13400;12684.5;81.9018;8339.82;12906.1
P203423103;13390;18864;59.929;10300.3;16848.5
P203423109;13370;16415.3;74.2081;11361.4;13188.8
P203423107;13410;13277.4;77.3927;11499;9894.01
P205423101;13410;13909.5;78.0023;10561.9;11595.5
P205423103;13410;14553.8;73.0464;11844.5;10776.1
P205423109;13440;16361;70.6985;10100.1;14573.9
P205423107;13380;14453.7;76.1113;10779.7;11891.1
P206423103;13400;16420.5;72.0676;11601.7;12919.9
P206423105;13370;14704.2;73.3141;11962.1;10792.3
P206423109;13430;17241.9;67.3398;10068.8;15490.5
P206423107;13370;15178.3;74.0149;11972;11255.1
P207423101;13400;12005.2;80.1254;10788.7;9432.23
P207423103;13180;15579.9;75.6829;11788.4;11866.3
P207423105;13370;15218.8;72.4914;11362.6;11991.1
P207423109;13430;17673.5;73.159;11258;14565.1
P207423107;13410;15899.1;74.4564;11274.1;12772.2
P208423101;13380;12468.4;78.4773;9213.32;11693.2
P208423103;13366;16339.5;66.4523;10725.7;13838.5
P208423105;13340;16037.7;72.544;11375.6;12795.1
P208423109;13430;14655.1;68.6808;10160.8;12798.8
P208423107;13455;13660.5;68.3444;11614;10145.8
P209423101;13410;12030.4;73.3161;9749.23;10643.7
P209423103;13360;15496.3;71.753;11296;12344.5
P209423105;13200;17589.1;73.2541;11611.4;14077.3
P209423109;13400;23491.6;67.5217;11232.8;20412
P210423101;13400;12879.5;82.1502;10779.6;10317
P210423103;13370;12281.6;70.2189;10593.7;9931.2
P210423105;13410;14833;74.7849;10995.1;12024.7
P210423109;13400;15739.1;68.0843;10430.7;13574.8
P210423107;13220;13549.1;71.6789;11191.8;10516.2
P212423101;13420;12729.3;80.625;10206.3;10821
P212423103;13370;14264.4;78.3377;10918.5;11543.4
P212423105;13370;19274.9;65.3817;10904.3;16570.1
P212423109;13350;23180.6;70.255;9177.23;22446.6
P213423101;13380;12398.2;76.7901;9668.95;11103.1
P213423103;13170;15557.5;77.6376;11795.8;11835.4
P213423105;13220;14122.7;68.4207;11567.4;10661.1
P213423109;13420;16801;67.6459;9636.19;15543.3
P213423107;13380;14939;73.7075;11890.2;11109.2
P214423101;13410;12919.6;75.8911;10387.9;10804.1
P214423103;13370;15511.3;73.0519;11030.5;12662.5
P214423105;13340;14798.6;70.5956;11602.8;11296.7
P214423109;13420;16465.3;68.8014;10528.4;14189.5
P214423107;12780;16491.1;70.3191;11854.1;12702.4
P215423101;13410;10964.8;78.5175;9759.84;9565.98
P215423103;13386;14936.2;67.6149;11377.4;11691.5
P215423105;13410;18243.3;75.8769;11867;14440
P215423109;13440;16535.7;73.2544;11209.8;13482.2
P215423107;13310;16115.5;73.2222;11935.6;12233.8
P216423101;13410;10480.3;73.2141;9505.51;9371.72
P216423103;13360;14469.9;70.1858;11542.4;11036.9
P216423105;13370;16275.3;73.5201;11886.9;12449.1
P216423109;13420;16102.7;67.3244;11097.3;13177.6
P217423101;13410;12920.5;76.978;9892.03;11370.8
P217423105;13370;12668.6;73.6799;10633.1;10273.2
P217423109;13446;23251.5;66.0838;9892.38;21701.5
P219423101;13380;11329.4;75.3263;9018.93;10776
P219423103;13400;15344.6;74.2288;11744.1;11681.4
P219423105;13390;16643.8;63.2392;11204.2;13596.8
P219423109;13320;23679.3;68.6868;9985.6;22022.9
P185420411;13210;11349.4;72.1009;8156.7;11780
Q186420403_1;13210;13253.3;77.8977;9666.4;11961.1
Q185420403_1;11000;8357.19;69.21;7791.64;9204.36
P186420407;13200;22247.7;38.4074;11224;19178
P186420403;13210;10409.9;88.0793;7057.13;12095.3
P187420403;13210;12969.4;78.7719;9361.32;12025.3
P188420403;13000;10994.8;82.9536;7882.39;11738.4
P189420403;13500;10545.9;85.6971;7248.83;12012.5
P191420403;13010;10393.1;86.1353;7518.22;11552.3
P189420401;12630;8775.28;77.9046;7702.32;9724.37
P191420401;13230;9773.84;83.9997;7292.77;11190.3
P192420403;13210;10005.1;83.7224;6756.19;12033.9
P191420411;13310;14844.2;67.7744;10154.6;12994.9
