Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P236654305;P236654305_1;A;0;0;0;1010;1206;2583
P236654305;P236654305_2;B;0;1234;0;1010;2440;2583
P236654305;P236654305_3;C;1010;1234;0;2020;2440;2890
P236654305;P236654305_4;D;1010;0;0;2020;1206;2721
P236654305;P236654305_5;E;2020;0;0;3030;1206;2721
P236654305;P236654305_6;F;2020;1234;0;3030;2440;2266
P236654305;P236654305_7;G;3030;1234;0;4040;2440;2807
P236654305;P236654305_8;H;3030;0;0;4040;1206;1722
P236654305;P236654305_9;I;4040;0;0;5040;1200;2855
P236654305;P236654305_10;J;4040;1240;0;5040;2440;2855
P236654305;P236654305_11;K;5040;1240;0;6040;2440;2855
P236654305;P236654305_12;L;5040;0;0;6040;1200;2855
P236654305;P236654305_13;M;6040;0;0;7040;1200;2855
P236654305;P236654305_14;N;6040;1240;0;7040;2440;2855
P236654305;P236654305_15;O;7040;1240;0;8040;2440;2855
P236654305;P236654305_16;P;7040;0;0;8040;1200;2855
P236654305;P236654305_17;Q;8040;0;0;9040;1200;2855
P236654305;P236654305_18;R;8040;1240;0;9040;2440;2855
P236654305;P236654305_19;S;9040;1240;0;10040;2440;2855
P236654305;P236654305_20;T;9040;0;0;10040;1200;2855
P236654305;P236654305_21;U;10040;0;0;11040;1200;2855
P236654305;P236654305_22;V;10040;1240;0;11040;2440;2855
P236654305;P236654305_23;W;11040;1240;0;12040;2440;2855
P236654305;P236654305_24;X;11040;0;0;12040;1200;2855
Q236654305_1;Q236654305_1_1;A;0;0;0;1000;1200;2855
Q236654305_1;Q236654305_1_2;B;0;1240;0;1000;2440;2855
P208654305;P208654305_1;A;0;1234;0;1010;2440;2124
P208654305;P208654305_2;B;0;0;0;1010;1206;2362
P208654305;P208654305_3;C;1010;0;0;2020;1206;2583
P208654305;P208654305_4;D;1010;1234;0;2020;2440;2583
P208654305;P208654305_5;E;2020;1234;0;3030;2440;1722
P208654305;P208654305_6;F;2020;0;0;3030;1206;2042
P208654305;P208654305_7;G;3030;0;0;4040;1206;1946
P208654305;P208654305_8;H;3030;1240;0;4030;2440;2855
P208654305;P208654305_9;I;4030;1240;0;5030;2440;2855
P208654305;P208654305_10;J;4040;0;0;5040;1200;2855
P208654305;P208654305_11;K;5030;1240;0;6030;2440;2855
P208654305;P208654305_12;L;5040;0;0;6040;1200;2855
P208654305;P208654305_13;M;6030;1240;0;7030;2440;2855
P208654305;P208654305_14;N;6040;0;0;7040;1200;2855
P208654305;P208654305_15;O;7030;1240;0;8030;2440;2855
P208654305;P208654305_16;P;7040;0;0;8040;1200;2855
P208654305;P208654305_17;Q;8030;1240;0;9030;2440;2855
P208654305;P208654305_18;R;8040;0;0;9040;1200;2855
P208654305;P208654305_19;S;9030;1240;0;10030;2440;2855
P205654301;P205654301_1;A;0;620;0;1000;1820;1450
P205654301;P205654301_2;B;1000;620;0;2000;1820;2855
P205654301;P205654301_3;C;2000;1240;0;3000;2440;2855
P205654301;P205654301_4;D;2000;20;0;3000;1220;2855
P205654301;P205654301_5;E;3000;1240;0;4000;2440;2855
P205654301;P205654301_6;F;3000;0;0;4000;1200;2855
P205654301;P205654301_7;G;4000;620;0;5000;1820;2855
P205654301;P205654301_8;H;5000;620;0;6000;1820;2855
P205654301;P205654301_9;I;6000;1240;0;7000;2440;2855
P201654305;P201654305_1;A;0;0;0;1010;1206;2747
P201654305;P201654305_2;B;0;1234;0;1010;2440;2747
P201654305;P201654305_3;C;1010;1234;0;2020;2440;2583
P201654305;P201654305_4;D;1010;0;0;2020;1206;2583
P201654305;P201654305_5;E;2020;0;0;3030;1206;2583
P201654305;P201654305_6;F;2020;1234;0;3030;2440;2583
P201654305;P201654305_7;G;3030;1234;0;4040;2440;2583
P201654305;P201654305_8;H;3030;0;0;4040;1206;2799
P201654305;P201654305_9;I;4040;0;0;5050;1206;2522
P201654305;P201654305_10;J;4040;1234;0;5050;2440;584
P201654305;P201654305_11;K;5050;1240;0;6050;2440;2855
P201654305;P201654305_12;L;5050;0;0;6050;1200;2855
P201654305;P201654305_13;M;6050;0;0;7050;1200;2855
P201654305;P201654305_14;N;6050;1240;0;7050;2440;2855
P201654305;P201654305_15;O;7050;1240;0;8050;2440;2855
P201654305;P201654305_16;P;7050;0;0;8050;1200;2855
P201654305;P201654305_17;Q;8050;0;0;9050;1200;2855
P201654305;P201654305_18;R;8050;1240;0;9050;2440;2855
