Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P185654305;8030;13695.9;43.1504;10827;11079.3
P186654301;10000;18795.7;49.758;11238.6;15709.5
P187654305;12040;23995;78.355;9781.48;22571.4
P191654301;3000;7170.7;18.87;10601.7;4811.23
P192654305;12040;23952;75.7672;10583.2;21613.6
P194654305;12040;23999.9;78.5195;9775.25;22583.5
P198654301;3000;6480.24;17.13;10055.7;4743.77
P199654305;10040;18593.5;59.6076;11191;15561.6
P201654305;13250;23948.2;82.7459;8156.41;24379.2
P205654301;7000;11019.7;29.148;11375.8;7776.79
P208654305;10030;18166.9;59.8238;11290;15022
Q236654305_1;1000;2792.26;6.852;6929.32;4623.47
P236654305;12040;23851.7;79.5341;9882.88;22312.5
P170654301;3000;5896.56;15.444;9601.78;4678.11
P171654305;11040;19770.9;60.5208;9557.67;18602.8
P173654305;11040;18622.4;61.7271;10199.8;16721.6
Q178654305_1;12000;22170.3;58.35;10774.5;19613.6
P178654305;12030;23856;75.1365;10947.5;21101.9
