Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P185654305;8030;13695.9;43.1504;10843.6;11060.4
P186654301;10000;18795.7;49.704;11925.8;14925.3
P187654305;12040;23995;78.355;9781.48;22571.4
P191654301;2000;4561.9;12.018;8488.92;4613.38
P192654305;9030;17012.1;55.9941;11889.8;13182.6
Q194654305_1;7000;9767.88;25.776;10685.9;7312.31
P194654305;13040;23780.8;79.4766;9300.01;22906.7
P198654301;3000;6480.24;17.13;10055.7;4743.77
P199654305;6020;9648.94;34.6684;10587.6;7305.47
P200654301;4000;9024.78;23.982;11907.9;5174.71
P201654305;13250;23868.1;83.6491;8688.01;23692.3
P205654301;2000;5191.64;13.704;9056.96;4594.9
P207654301;3000;5828.04;15.444;9552.01;4666.38
P208654305;10040;18166.9;59.8238;10231.9;16229.4
Q236654305_1;1000;2710.04;6.852;6846.22;4636.08
P236654305;12040;23934;79.5341;9913.43;22359.9
P170654301;3000;5896.56;15.444;9601.78;4678.11
P171654305;11030;19770.9;60.5208;10695;17304.9
P173654305;8030;13557.9;48.0231;11666.1;9983.74
P177654301;2000;5064.56;13.704;8927.28;4615.81
Q178654305_1;13000;22061.7;58.296;8061.42;22601
P178654305;12030;23964.6;75.1365;10940.8;21218.1
