Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P236654305;P236654305_1;A;0;1234;0;1010;2440;2877
P236654305;P236654305_2;B;0;0;0;1010;1206;2877
P236654305;P236654305_3;C;1010;0;0;2020;1206;2401
P236654305;P236654305_4;D;1010;1234;0;2020;2440;2362
P236654305;P236654305_5;E;2020;1234;0;3030;2440;2583
P236654305;P236654305_6;F;2020;0;0;3030;1206;2807
P236654305;P236654305_7;G;3030;0;0;4040;1206;2583
P236654305;P236654305_8;H;3030;1234;0;4040;2440;1722
P236654305;P236654305_9;I;4040;1234;0;5050;2440;2362
P236654305;P236654305_10;J;4040;0;0;5040;1200;2855
P236654305;P236654305_11;K;5040;0;0;6040;1200;2855
P236654305;P236654305_12;L;5050;1240;0;6050;2440;2855
P236654305;P236654305_13;M;6040;0;0;7040;1200;2855
P236654305;P236654305_14;N;6050;1240;0;7050;2440;2855
P236654305;P236654305_15;O;7040;0;0;8040;1200;2855
P236654305;P236654305_16;P;7050;1240;0;8050;2440;2855
P236654305;P236654305_17;Q;8040;0;0;9040;1200;2855
P236654305;P236654305_18;R;8050;1240;0;9050;2440;2855
P236654305;P236654305_19;S;9040;0;0;10040;1200;2855
P236654305;P236654305_20;T;9050;1240;0;10050;2440;2855
P236654305;P236654305_21;U;10040;0;0;11040;1200;2855
P236654305;P236654305_22;V;10050;1240;0;11050;2440;2855
P236654305;P236654305_23;W;11040;0;0;12040;1200;2855
P236654305;P236654305_24;X;11050;1240;0;12050;2440;2855
P236654305;P236654305_25;Y;12040;0;0;13040;1200;1450
Q236654305_1;Q236654305_1_1;A;0;620;0;1000;1820;1450
Q236654305_1;Q236654305_1_2;B;1000;620;0;2000;1820;2855
Q236654305_1;Q236654305_1_3;C;2000;1240;0;3000;2440;2855
Q236654305_1;Q236654305_1_4;D;2000;0;0;3000;1200;2855
Q236654305_1;Q236654305_1_5;E;3000;620;0;4000;1820;2855
Q236654305_1;Q236654305_1_6;F;4000;1240;0;5000;2440;2855
Q236654305_1;Q236654305_1_7;G;4000;0;0;5000;1200;2855
Q236654305_1;Q236654305_1_8;H;5000;0;0;6000;1200;2855
Q236654305_1;Q236654305_1_9;I;5000;1220;0;6000;2420;2855
Q236654305_1;Q236654305_1_10;J;6000;1240;0;7000;2440;2855
P208654305;P208654305_1;A;0;617;0;1010;1823;2583
P208654305;P208654305_2;B;1010;1234;0;2020;2440;2877
P208654305;P208654305_3;C;1010;14;0;2020;1220;2877
P208654305;P208654305_4;D;2020;1234;0;3030;2440;2042
P208654305;P208654305_5;E;2020;0;0;3030;1206;2266
P208654305;P208654305_6;F;3030;0;0;4030;1200;2855
P208654305;P208654305_7;G;3030;1240;0;4030;2440;2855
P208654305;P208654305_8;H;4030;1240;0;5030;2440;2855
P208654305;P208654305_9;I;4030;0;0;5030;1200;2855
P208654305;P208654305_10;J;5030;0;0;6030;1200;2855
P208654305;P208654305_11;K;5030;1240;0;6030;2440;2855
P208654305;P208654305_12;L;6030;1240;0;7030;2440;2855
P208654305;P208654305_13;M;6030;0;0;7030;1200;2855
P208654305;P208654305_14;N;7030;0;0;8030;1200;2855
P208654305;P208654305_15;O;7030;1240;0;8030;2440;2855
P208654305;P208654305_16;P;8030;1240;0;9030;2440;2855
P208654305;P208654305_17;Q;8030;0;0;9030;1200;2855
P208654305;P208654305_18;R;9030;0;0;10030;1200;2855
P201654305;P201654305_1;A;0;0;0;1010;1206;2747
P201654305;P201654305_2;B;0;1234;0;1010;2440;2747
